region,date,indicator,value,unit
江门,2025-02-01,全社会用电量,47.8797,亿千瓦时
江门,2025-03-01,全社会用电量,32.2649,亿千瓦时
江门,2025-04-01,全社会用电量,32.8891,亿千瓦时
江门,2025-05-01,全社会用电量,35.3382,亿千瓦时
江门,2025-06-01,全社会用电量,38.2845,亿千瓦时
江门,2025-07-01,全社会用电量,43.7097,亿千瓦时
江门,2025-08-01,全社会用电量,40.4095,亿千瓦时
江门,2025-09-01,全社会用电量,37.8516,亿千瓦时
江门,2025-10-01,全社会用电量,36.3461,亿千瓦时
江门,2025-11-01,全社会用电量,32.8211,亿千瓦时
江门,2025-12-01,全社会用电量,33.4782,亿千瓦时
江门,2026-02-01,全社会用电量,53.1523,亿千瓦时
江门,2026-03-01,全社会用电量,34.1791,亿千瓦时
江门,2026-04-01,全社会用电量,36.7936,亿千瓦时
江门,2026-05-01,全社会用电量,39.0111,亿千瓦时
