region,year,total_10k_kwh,primary,secondary,tertiary
南京,2000,1377395,0,0,0
南京,2001,1484439,0,0,0
南京,2002,1620788,0,0,0
南京,2003,1840333,0,0,0
南京,2004,2072997,15625,1516541,280799
南京,2005,2466661,14507,1772227,377701
南京,2006,2705710,14117,1906213,435703
南京,2007,2991293,14806,2104964,503645
南京,2008,3107922,15350,2109267,567103
南京,2009,3370545,16264,2274994,626941
南京,2010,3736638,16871,2461481,728152
南京,2011,3997431,18313,2605097,844872
南京,2012,4249554,18853,2699199,930843
南京,2013,4626718,19536,2920266,1011428
南京,2014,4704973,20441,2946677,1130462
南京,2015,4951753,23820,3069749,1204713
南京,2016,5247863,30133,3167669,1285568
南京,2017,5569607,31438,3243525,1483254
南京,2018,6064005,18389,3381783,1734407
南京,2019,6215283,19160,3357175,1872079
南京,2020,6329425,18660,3481973,1854276
南京,2021,6835698,22235,3613941,2124003
南京,2022,7244555,25641,3662388,2331260
南京,2023,7472669,25417,3763361,2494994
