region,date,indicator,value,unit
浙江,2021-01-01,全社会用电量,465.5998,亿千瓦时
浙江,2021-02-01,全社会用电量,256.1031,亿千瓦时
浙江,2021-03-01,全社会用电量,447.4071,亿千瓦时
浙江,2021-04-01,全社会用电量,433.6378,亿千瓦时
浙江,2021-05-01,全社会用电量,452.5544,亿千瓦时
浙江,2021-06-01,全社会用电量,478.0096,亿千瓦时
浙江,2021-07-01,全社会用电量,562.7703,亿千瓦时
浙江,2021-08-01,全社会用电量,561.889,亿千瓦时
浙江,2021-09-01,全社会用电量,512.2877,亿千瓦时
浙江,2021-10-01,全社会用电量,430.1101,亿千瓦时
浙江,2021-11-01,全社会用电量,437.2489,亿千瓦时
浙江,2021-12-01,全社会用电量,476.4931,亿千瓦时
浙江,2022-01-01,全社会用电量,431.338,亿千瓦时
浙江,2022-02-01,全社会用电量,375.7401,亿千瓦时
浙江,2022-03-01,全社会用电量,474.8464,亿千瓦时
浙江,2022-04-01,全社会用电量,430.5708,亿千瓦时
浙江,2022-05-01,全社会用电量,438.4435,亿千瓦时
浙江,2022-06-01,全社会用电量,485.2202,亿千瓦时
浙江,2022-07-01,全社会用电量,624.9475,亿千瓦时
浙江,2022-08-01,全社会用电量,627.5656,亿千瓦时
浙江,2022-09-01,全社会用电量,483.3107,亿千瓦时
浙江,2022-10-01,全社会用电量,464.215,亿千瓦时
浙江,2022-11-01,全社会用电量,449.4513,亿千瓦时
浙江,2022-12-01,全社会用电量,513.6992,亿千瓦时
浙江,2023-01-01,全社会用电量,341.1477,亿千瓦时
浙江,2023-02-01,全社会用电量,442.2964,亿千瓦时
浙江,2023-03-01,全社会用电量,506.4951,亿千瓦时
浙江,2023-04-01,全社会用电量,467.4495,亿千瓦时
浙江,2023-05-01,全社会用电量,488.2146,亿千瓦时
浙江,2023-06-01,全社会用电量,532.5154,亿千瓦时
浙江,2023-07-01,全社会用电量,655.4505,亿千瓦时
浙江,2023-08-01,全社会用电量,635.7354,亿千瓦时
浙江,2023-09-01,全社会用电量,557.714,亿千瓦时
浙江,2023-10-01,全社会用电量,496.797,亿千瓦时
浙江,2023-11-01,全社会用电量,497.0234,亿千瓦时
浙江,2023-12-01,全社会用电量,571.1593,亿千瓦时
浙江,2024-01-01,全社会用电量,551.654418,亿千瓦时
浙江,2024-02-01,全社会用电量,354.776135,亿千瓦时
浙江,2024-03-01,全社会用电量,540.419167,亿千瓦时
浙江,2024-04-01,全社会用电量,508.682954,亿千瓦时
浙江,2024-05-01,全社会用电量,524.86848,亿千瓦时
浙江,2024-06-01,全社会用电量,538.981438,亿千瓦时
浙江,2024-07-01,全社会用电量,718.6396,亿千瓦时
浙江,2024-08-01,全社会用电量,739.5127,亿千瓦时
浙江,2024-09-01,全社会用电量,637.4285,亿千瓦时
浙江,2024-10-01,全社会用电量,532.8752,亿千瓦时
浙江,2024-11-01,全社会用电量,526.9564,亿千瓦时
浙江,2024-12-01,全社会用电量,606.0565,亿千瓦时
浙江,2025-01-01,全社会用电量,485.8246,亿千瓦时
浙江,2025-02-01,全社会用电量,460.3528,亿千瓦时
浙江,2025-03-01,全社会用电量,580.978,亿千瓦时
