region,sector,period,date,cumulative_value_100m_yuan,cumulative_yoy_pct,single_quarter_value_100m_yuan
浙江,第一产业,1997Q1,1997-03-01,950.0,12.0,950.0
浙江,第一产业,1997Q2,1997-06-01,1950.0,11.0,1000.0
浙江,第一产业,1997Q3,1997-09-01,365.0,4.0,-1585.0
浙江,第一产业,1997Q4,1997-12-01,635.0,4.0,270.0
浙江,第一产业,1998Q1,1998-03-01,90.0,2.4,-545.0
浙江,第一产业,1998Q2,1998-06-01,200.0,-2.0,110.0
浙江,第一产业,1998Q3,1998-09-01,340.0,-1.6,140.0
浙江,第一产业,1998Q4,1998-12-01,631.31,3.2,291.31
浙江,第一产业,1999Q1,1999-03-01,97.0,2.8,-534.31
浙江,第一产业,1999Q2,1999-06-01,221.8,5.5,124.8
浙江,第一产业,1999Q3,1999-09-01,354.23,4.7,132.43
浙江,第一产业,1999Q4,1999-12-01,636.0,4.3,281.77
浙江,第一产业,2000Q1,2000-03-01,107.22,4.9,-528.78
浙江,第一产业,2000Q2,2000-06-01,256.15,4.9,148.93
浙江,第一产业,2000Q3,2000-09-01,386.18,5.2,130.03
浙江,第一产业,2000Q4,2000-12-01,650.0,4.5,263.82
浙江,第一产业,2001Q1,2001-03-01,110.0,2.0,-540.0
浙江,第一产业,2001Q2,2001-06-01,274.0,4.0,164.0
浙江,第一产业,2001Q3,2001-09-01,424.0,4.0,150.0
浙江,第一产业,2001Q4,2001-12-01,690.0,4.1,266.0
浙江,第一产业,2002Q1,2002-03-01,105.0,4.2,-585.0
浙江,第一产业,2002Q2,2002-06-01,270.0,2.6,165.0
浙江,第一产业,2002Q3,2002-09-01,410.0,3.1,140.0
浙江,第一产业,2002Q4,2002-12-01,680.0,3.3,270.0
浙江,第一产业,2003Q1,2003-03-01,120.0,2.4,-560.0
浙江,第一产业,2003Q2,2003-06-01,288.0,1.6,168.0
浙江,第一产业,2003Q3,2003-09-01,428.0,2.0,140.0
浙江,第一产业,2003Q4,2003-12-01,722.0,2.7,294.0
浙江,第一产业,2004Q1,2004-03-01,128.0,2.2,-594.0
浙江,第一产业,2004Q2,2004-06-01,328.0,2.3,200.0
浙江,第一产业,2004Q3,2004-09-01,488.0,2.5,160.0
浙江,第一产业,2004Q4,2004-12-01,816.0,3.7,328.0
浙江,第一产业,2005Q1,2005-03-01,142.07,1.9,-673.93
浙江,第一产业,2005Q2,2005-06-01,353.31,2.9,211.24
浙江,第一产业,2005Q3,2005-09-01,531.6,2.3,178.29
浙江,第一产业,2005Q4,2005-12-01,872.55,1.6,340.95
浙江,第一产业,2006Q1,2006-03-01,148.0,2.2,-724.55
浙江,第一产业,2006Q2,2006-06-01,363.48,2.5,215.48
浙江,第一产业,2006Q3,2006-09-01,553.94,3.0,190.46
浙江,第一产业,2006Q4,2006-12-01,922.98,3.0,369.04
浙江,第一产业,2007Q1,2007-03-01,149.54,2.8,-773.44
浙江,第一产业,2007Q2,2007-06-01,394.86,2.9,245.32
浙江,第一产业,2007Q3,2007-09-01,609.68,2.8,214.82
浙江,第一产业,2007Q4,2007-12-01,1025.27,2.8,415.59
浙江,第一产业,2008Q1,2008-03-01,168.68,-0.8,-856.59
浙江,第一产业,2008Q2,2008-06-01,440.26,1.3,271.58
浙江,第一产业,2008Q3,2008-09-01,685.6,2.9,245.34
浙江,第一产业,2008Q4,2008-12-01,1095.4,3.9,409.8
浙江,第一产业,2009Q1,2009-03-01,170.9,2.0,-924.5
浙江,第一产业,2009Q2,2009-06-01,432.9,0.7,262.0
浙江,第一产业,2009Q3,2009-09-01,694.4,1.8,261.5
浙江,第一产业,2009Q4,2009-12-01,1161.65,2.3,467.25
浙江,第一产业,2010Q1,2010-03-01,185.3,3.3,-976.35
浙江,第一产业,2010Q2,2010-06-01,506.8,2.0,321.5
浙江,第一产业,2010Q3,2010-09-01,809.8,3.2,303.0
浙江,第一产业,2010Q4,2010-12-01,1360.7,3.2,550.9
浙江,第一产业,2011Q1,2011-03-01,215.06,3.1,-1145.64
浙江,第一产业,2011Q2,2011-06-01,593.4,3.0,378.34
浙江,第一产业,2011Q3,2011-09-01,951.6,3.0,358.2
浙江,第一产业,2011Q4,2011-12-01,1580.6,3.6,629.0
浙江,第一产业,2012Q1,2012-03-01,242.7,0.8,-1337.9
浙江,第一产业,2012Q2,2012-06-01,655.7,2.1,413.0
浙江,第一产业,2012Q3,2012-09-01,1029.4,2.1,373.7
浙江,第一产业,2012Q4,2012-12-01,1669.5,2.0,640.1
浙江,第一产业,2013Q1,2013-03-01,258.3,2.6,-1411.2
浙江,第一产业,2013Q2,2013-06-01,679.9,2.4,421.6
浙江,第一产业,2013Q3,2013-09-01,1074.5,1.8,394.6
浙江,第一产业,2013Q4,2013-12-01,1784.62,0.4,710.12
浙江,第一产业,2014Q1,2014-03-01,274.21,0.3,-1510.41
浙江,第一产业,2014Q2,2014-06-01,755.2,0.9,480.99
浙江,第一产业,2014Q3,2014-09-01,1153.41,1.1,398.21
浙江,第一产业,2014Q4,2014-12-01,1779.26,1.4,625.85
浙江,第一产业,2015Q1,2015-03-01,278.19,1.1,-1501.07
浙江,第一产业,2015Q2,2015-06-01,763.3,1.2,485.11
浙江,第一产业,2015Q3,2015-09-01,1161.16,1.1,397.86
浙江,第一产业,2015Q4,2015-12-01,1832.8,1.5,671.64
浙江,第一产业,2016Q1,2016-03-01,301.8,1.2,-1531.0
浙江,第一产业,2016Q2,2016-06-01,832.49,1.7,530.69
浙江,第一产业,2016Q3,2016-09-01,1251.14,2.5,418.65
浙江,第一产业,2016Q4,2016-12-01,1966.54,2.7,715.4
浙江,第一产业,2017Q1,2017-03-01,297.08,1.1,-1669.46
浙江,第一产业,2017Q2,2017-06-01,820.48,1.5,523.4
浙江,第一产业,2017Q3,2017-09-01,1247.79,1.9,427.31
浙江,第一产业,2017Q4,2017-12-01,2017.43,2.8,769.64
浙江,第一产业,2018Q1,2018-03-01,303.4,1.4,-1714.03
浙江,第一产业,2018Q2,2018-06-01,804.9,1.5,501.5
浙江,第一产业,2018Q3,2018-09-01,1233.01,1.8,428.11
浙江,第一产业,2018Q4,2018-12-01,1967.01,1.9,734.0
浙江,第一产业,2019Q1,2019-03-01,311.11,1.5,-1655.9
浙江,第一产业,2019Q2,2019-06-01,872.46,1.6,561.35
浙江,第一产业,2019Q3,2019-09-01,1330.26,1.7,457.8
浙江,第一产业,2019Q4,2019-12-01,2097.38,2.0,767.12
浙江,第一产业,2020Q1,2020-03-01,334.99,-0.7,-1762.39
浙江,第一产业,2020Q2,2020-06-01,913.59,1.3,578.6
浙江,第一产业,2020Q3,2020-09-01,1389.18,1.4,475.59
浙江,第一产业,2020Q4,2020-12-01,2169.23,1.3,780.05
浙江,第一产业,2021Q1,2021-03-01,337.17,2.8,-1832.06
浙江,第一产业,2021Q2,2021-06-01,934.95,3.1,597.78
浙江,第一产业,2021Q3,2021-09-01,1407.2,2.7,472.25
浙江,第一产业,2021Q4,2021-12-01,2209.09,2.2,801.89
浙江,第一产业,2022Q1,2022-03-01,336.25,2.4,-1872.84
浙江,第一产业,2022Q2,2022-06-01,954.96,3.4,618.71
浙江,第一产业,2022Q3,2022-09-01,1462.7,2.8,507.74
浙江,第一产业,2022Q4,2022-12-01,2324.77,3.2,862.07
浙江,第一产业,2023Q1,2023-03-01,365.69,4.1,-1959.08
浙江,第一产业,2023Q2,2023-06-01,1049.84,4.3,684.15
浙江,第一产业,2023Q3,2023-09-01,1580.12,3.9,530.28
浙江,第一产业,2023Q4,2023-12-01,2331.97,4.2,751.85
浙江,第一产业,2024Q1,2024-03-01,347.0,3.9,-1984.97
浙江,第一产业,2024Q2,2024-06-01,1010.0,3.8,663.0
浙江,第一产业,2024Q3,2024-09-01,1554.0,3.7,544.0
浙江,第一产业,2024Q4,2024-12-01,2586.0,3.5,1032.0
浙江,第一产业,2025Q1,2025-03-01,398.0,3.3,-2188.0
浙江,第一产业,2025Q2,2025-06-01,1132.0,3.5,734.0
浙江,第一产业,2025Q3,2025-09-01,1735.0,3.7,603.0
浙江,第一产业,2025Q4,2025-12-01,2657.0,3.9,922.0
浙江,第二产业,1997Q1,1997-03-01,93.0,4.2,93.0
浙江,第二产业,1997Q2,1997-06-01,230.0,7.3,137.0
浙江,第二产业,1997Q3,1997-09-01,1665.0,12.1,1435.0
浙江,第二产业,1997Q4,1997-12-01,2460.0,12.6,795.0
浙江,第二产业,1998Q1,1998-03-01,560.0,10.8,-1900.0
浙江,第二产业,1998Q2,1998-06-01,1186.0,10.9,626.0
浙江,第二产业,1998Q3,1998-09-01,1830.61,11.1,644.61
浙江,第二产业,1998Q4,1998-12-01,2709.08,10.8,878.47
浙江,第二产业,1999Q1,1999-03-01,611.42,12.3,-2097.66
浙江,第二产业,1999Q2,1999-06-01,1286.54,11.3,675.12
浙江,第二产业,1999Q3,1999-09-01,1992.47,11.5,705.93
浙江,第二产业,1999Q4,1999-12-01,2906.0,11.3,913.53
浙江,第二产业,2000Q1,2000-03-01,664.56,11.8,-2241.44
浙江,第二产业,2000Q2,2000-06-01,1400.14,11.9,735.58
浙江,第二产业,2000Q3,2000-09-01,2193.39,11.8,793.25
浙江,第二产业,2000Q4,2000-12-01,3200.0,11.8,1006.61
浙江,第二产业,2001Q1,2001-03-01,747.0,11.8,-2453.0
浙江,第二产业,2001Q2,2001-06-01,1642.0,11.6,895.0
浙江,第二产业,2001Q3,2001-09-01,2503.0,11.1,861.0
浙江,第二产业,2001Q4,2001-12-01,3440.0,11.0,937.0
浙江,第二产业,2002Q1,2002-03-01,870.0,11.2,-2570.0
浙江,第二产业,2002Q2,2002-06-01,1815.0,13.0,945.0
浙江,第二产业,2002Q3,2002-09-01,2814.0,13.3,999.0
浙江,第二产业,2002Q4,2002-12-01,3925.0,13.3,1111.0
浙江,第二产业,2003Q1,2003-03-01,1000.0,14.8,-2925.0
浙江,第二产业,2003Q2,2003-06-01,2147.0,14.5,1147.0
浙江,第二产业,2003Q3,2003-09-01,3410.0,14.8,1263.0
浙江,第二产业,2003Q4,2003-12-01,4830.0,16.6,1420.0
浙江,第二产业,2004Q1,2004-03-01,1248.0,16.8,-3582.0
浙江,第二产业,2004Q2,2004-06-01,2732.0,17.8,1484.0
浙江,第二产业,2004Q3,2004-09-01,4293.0,16.9,1561.0
浙江,第二产业,2004Q4,2004-12-01,6045.0,16.2,1752.0
浙江,第二产业,2005Q1,2005-03-01,1469.54,14.5,-4575.46
浙江,第二产业,2005Q2,2005-06-01,3418.72,13.0,1949.18
浙江,第二产业,2005Q3,2005-09-01,4982.98,13.3,1564.26
浙江,第二产业,2005Q4,2005-12-01,7147.81,12.1,2164.83
浙江,第二产业,2006Q1,2006-03-01,1788.59,17.1,-5359.22
浙江,第二产业,2006Q2,2006-06-01,3810.04,14.8,2021.45
浙江,第二产业,2006Q3,2006-09-01,5982.91,14.3,2172.87
浙江,第二产业,2006Q4,2006-12-01,8437.71,13.9,2454.8
浙江,第二产业,2007Q1,2007-03-01,2115.75,14.3,-6321.96
浙江,第二产业,2007Q2,2007-06-01,4468.25,15.4,2352.5
浙江,第二产业,2007Q3,2007-09-01,7025.41,14.9,2557.16
浙江,第二产业,2007Q4,2007-12-01,10092.0,15.4,3066.59
浙江,第二产业,2008Q1,2008-03-01,2497.61,12.5,-7594.39
浙江,第二产业,2008Q2,2008-06-01,5291.97,11.5,2794.36
浙江,第二产业,2008Q3,2008-09-01,8279.5,10.6,2987.53
浙江,第二产业,2008Q4,2008-12-01,11580.3,9.4,3300.8
浙江,第二产业,2009Q1,2009-03-01,2315.4,-3.0,-9264.9
浙江,第二产业,2009Q2,2009-06-01,5067.5,1.9,2752.1
浙江,第二产业,2009Q3,2009-09-01,8160.5,4.5,3093.0
浙江,第二产业,2009Q4,2009-12-01,11843.3,6.8,3682.8
浙江,第二产业,2010Q1,2010-03-01,2676.5,18.6,-9166.8
浙江,第二产业,2010Q2,2010-06-01,6129.67,16.5,3453.17
浙江,第二产业,2010Q3,2010-09-01,9723.4,14.3,3593.73
浙江,第二产业,2010Q4,2010-12-01,14121.3,12.3,4397.9
浙江,第二产业,2011Q1,2011-03-01,3167.51,10.8,-10953.79
浙江,第二产业,2011Q2,2011-06-01,7600.2,10.1,4432.69
浙江,第二产业,2011Q3,2011-09-01,11683.7,9.7,4083.5
浙江,第二产业,2011Q4,2011-12-01,16404.2,9.1,4720.5
浙江,第二产业,2012Q1,2012-03-01,3344.2,6.4,-13060.0
浙江,第二产业,2012Q2,2012-06-01,8005.9,6.5,4661.7
浙江,第二产业,2012Q3,2012-09-01,12269.0,6.8,4263.1
浙江,第二产业,2012Q4,2012-12-01,17312.4,7.3,5043.4
浙江,第二产业,2013Q1,2013-03-01,3556.6,8.6,-13755.8
浙江,第二产业,2013Q2,2013-06-01,8440.3,8.9,4883.7
浙江,第二产业,2013Q3,2013-09-01,13057.6,8.5,4617.3
浙江,第二产业,2013Q4,2013-12-01,18446.65,8.4,5389.05
