region,date,indicator,unit,observed,trend,seasonal,expected,residual,residual_pct_of_trend,severity
江门,2025-02-01,全社会用电量,亿千瓦时,47.8797,36.7165,11.1632,47.8797,-0.0,-0.0,normal
江门,2025-03-01,全社会用电量,亿千瓦时,32.2649,36.9156,-4.6507,32.2649,-0.0,-0.0,normal
江门,2025-04-01,全社会用电量,亿千瓦时,32.8891,37.1148,-4.2257,32.8891,0.0,0.0,normal
江门,2025-05-01,全社会用电量,亿千瓦时,35.3382,37.314,-1.9758,35.3382,0.0,0.0,normal
江门,2025-06-01,全社会用电量,亿千瓦时,38.2845,37.5131,0.7714,38.2845,0.0,0.0,normal
江门,2025-07-01,全社会用电量,亿千瓦时,43.7097,37.7123,2.9667,40.679,3.0307,8.0365,watch
江门,2025-08-01,全社会用电量,亿千瓦时,40.4095,37.9114,4.7972,42.7086,-2.2991,-6.0644,watch
江门,2025-09-01,全社会用电量,亿千瓦时,37.8516,38.1106,-4.5765,33.5341,4.3175,11.3288,strong
江门,2025-10-01,全社会用电量,亿千瓦时,36.3461,38.3098,-2.2438,36.0659,0.2802,0.7314,normal
江门,2025-11-01,全社会用电量,亿千瓦时,32.8211,38.5089,0.1389,38.6478,-5.8267,-15.1308,strong
江门,2025-12-01,全社会用电量,亿千瓦时,33.4782,38.7081,-5.2299,33.4782,0.0,0.0,normal
江门,2026-02-01,全社会用电量,亿千瓦时,53.1523,38.9072,14.2451,53.1523,0.0,0.0,normal
江门,2026-03-01,全社会用电量,亿千瓦时,34.1791,39.1064,-4.9273,34.1791,0.0,0.0,normal
江门,2026-04-01,全社会用电量,亿千瓦时,36.7936,39.3055,-2.5119,36.7936,-0.0,-0.0,normal
江门,2026-05-01,全社会用电量,亿千瓦时,39.0111,39.5047,-0.4936,39.0111,-0.0,-0.0,normal
