region,year,indicator,unit,observed,trend,seasonal,expected,residual,residual_pct_of_trend,severity
南京,2000,全社会用电量,万千瓦时,1377395.0,1175914.46,202306.99,1378221.45,-826.45,-0.0703,normal
南京,2001,全社会用电量,万千瓦时,1484439.0,1421786.04,59229.2,1481015.24,3423.76,0.2408,normal
南京,2002,全社会用电量,万千瓦时,1620788.0,1667857.07,-45729.0,1622128.08,-1340.08,-0.0803,normal
南京,2003,全社会用电量,万千瓦时,1840333.0,1914148.49,-71721.46,1842427.03,-2094.03,-0.1094,normal
南京,2004,全社会用电量,万千瓦时,2072997.0,2160760.32,-85209.29,2075551.02,-2554.02,-0.1182,normal
南京,2005,全社会用电量,万千瓦时,2466661.0,2409032.47,97953.75,2506986.22,-40325.22,-1.6739,normal
南京,2006,全社会用电量,万千瓦时,2705710.0,2665851.91,46903.79,2712755.7,-7045.7,-0.2643,normal
南京,2007,全社会用电量,万千瓦时,2991293.0,2923724.24,7341.24,2931065.48,60227.52,2.06,normal
南京,2008,全社会用电量,万千瓦时,3107922.0,3182809.12,-18404.27,3164404.85,-56482.85,-1.7746,normal
南京,2009,全社会用电量,万千瓦时,3370545.0,3443784.47,-75497.68,3368286.79,2258.21,0.0656,normal
南京,2010,全社会用电量,万千瓦时,3736638.0,3703814.83,-6902.08,3696912.75,39725.25,1.0725,normal
南京,2011,全社会用电量,万千瓦时,3997431.0,3967411.13,35844.02,4003255.15,-5824.15,-0.1468,normal
南京,2012,全社会用电量,万千瓦时,4249554.0,4235852.1,59514.29,4295366.38,-45812.38,-1.0815,normal
南京,2013,全社会用电量,万千瓦时,4626718.0,4505911.92,33759.08,4539670.99,87047.01,1.9318,normal
南京,2014,全社会用电量,万千瓦时,4704973.0,4779476.65,-65187.75,4714288.89,-9315.89,-0.1949,normal
南京,2015,全社会用电量,万千瓦时,4951753.0,5067618.39,-110561.74,4957056.65,-5303.65,-0.1047,normal
南京,2016,全社会用电量,万千瓦时,5247863.0,5370410.51,29296.92,5399707.43,-151844.43,-2.8274,normal
南京,2017,全社会用电量,万千瓦时,5569607.0,5669297.35,111011.48,5780308.83,-210701.83,-3.7165,normal
南京,2018,全社会用电量,万千瓦时,6064005.0,5969883.48,80687.27,6050570.75,13434.25,0.225,normal
南京,2019,全社会用电量,万千瓦时,6215283.0,6264886.12,-54360.67,6210525.45,4757.55,0.0759,normal
南京,2020,全社会用电量,万千瓦时,6329425.0,6538217.94,-213243.0,6324974.94,4450.06,0.0681,normal
南京,2021,全社会用电量,万千瓦时,6835698.0,6809645.89,22862.48,6832508.37,3189.63,0.0468,normal
南京,2022,全社会用电量,万千瓦时,7244555.0,7080641.16,162424.79,7243065.94,1489.06,0.021,normal
南京,2023,全社会用电量,万千瓦时,7472669.0,7351298.24,126071.3,7477369.55,-4700.55,-0.0639,normal
