region,date,indicator,unit,observed,trend,seasonal,expected,residual,residual_pct_of_trend,severity
南京,2025-02-01,全社会用电量,亿千瓦时,126.14,68.3327,57.8101,126.1428,-0.0028,-0.004,normal
南京,2025-03-01,全社会用电量,亿千瓦时,61.19,69.7344,-8.5441,61.1903,-0.0003,-0.0005,normal
南京,2025-04-01,全社会用电量,亿千瓦时,55.26,71.1359,-15.8776,55.2583,0.0017,0.0024,normal
南京,2025-05-01,全社会用电量,亿千瓦时,61.15,72.537,-11.3904,61.1466,0.0034,0.0047,normal
南京,2025-06-01,全社会用电量,亿千瓦时,68.64,73.9378,32.0632,106.001,-37.361,-50.5303,strong
南京,2025-07-01,全社会用电量,亿千瓦时,90.59,75.3382,-14.6846,60.6536,29.9364,39.736,strong
南京,2025-08-01,全社会用电量,亿千瓦时,91.01,76.7386,-14.348,62.3906,28.6194,37.2947,strong
南京,2025-09-01,全社会用电量,亿千瓦时,75.09,78.1382,18.9674,97.1056,-22.0156,-28.1752,strong
南京,2025-10-01,全社会用电量,亿千瓦时,64.4,79.5372,6.3163,85.8535,-21.4535,-26.973,strong
南京,2025-11-01,全社会用电量,亿千瓦时,60.79,80.9362,-20.825,60.1112,0.6788,0.8387,normal
南京,2025-12-01,全社会用电量,亿千瓦时,69.52,82.3348,-12.8184,69.5164,0.0036,0.0044,normal
南京,2026-02-01,全社会用电量,亿千瓦时,133.06,83.733,49.3251,133.0582,0.0018,0.0022,normal
南京,2026-03-01,全社会用电量,亿千瓦时,65.7,85.1309,-19.4306,65.7004,-0.0004,-0.0004,normal
南京,2026-04-01,全社会用电量,亿千瓦时,59.56,86.5285,-26.9655,59.563,-0.003,-0.0035,normal
