region,date,indicator,unit,observed,trend,seasonal,expected,residual,residual_pct_of_trend,severity
苏州,2025-02-01,全社会用电量,亿千瓦时,269.44,165.048,104.3741,269.4221,0.0179,0.0108,normal
苏州,2025-03-01,全社会用电量,亿千瓦时,155.98,167.8027,-11.8252,155.9775,0.0025,0.0015,normal
苏州,2025-04-01,全社会用电量,亿千瓦时,143.87,170.5595,-26.6785,143.881,-0.011,-0.0064,normal
苏州,2025-05-01,全社会用电量,亿千瓦时,148.56,173.3184,-24.7359,148.5826,-0.0226,-0.013,normal
苏州,2025-06-01,全社会用电量,亿千瓦时,163.99,176.0796,57.5639,233.6435,-69.6535,-39.558,strong
苏州,2025-07-01,全社会用电量,亿千瓦时,201.33,178.8432,-23.728,155.1152,46.2148,25.8409,strong
苏州,2025-08-01,全社会用电量,亿千瓦时,208.47,181.607,-26.9805,154.6265,53.8435,29.6484,strong
苏州,2025-09-01,全社会用电量,亿千瓦时,187.19,184.3758,34.279,218.6549,-31.4649,-17.0656,strong
苏州,2025-10-01,全社会用电量,亿千瓦时,160.44,187.1496,10.7537,197.9034,-37.4634,-20.0179,strong
苏州,2025-11-01,全社会用电量,亿千瓦时,152.89,189.9236,-35.6307,154.293,-1.403,-0.7387,normal
苏州,2025-12-01,全社会用电量,亿千瓦时,165.39,192.7006,-27.2825,165.4181,-0.0281,-0.0146,normal
苏州,2026-02-01,全社会用电量,亿千瓦时,288.76,195.4804,93.2939,288.7743,-0.0143,-0.0073,normal
苏州,2026-03-01,全社会用电量,亿千瓦时,162.21,198.2628,-36.0564,162.2064,0.0036,0.0018,normal
苏州,2026-04-01,全社会用电量,亿千瓦时,153.54,201.0479,-47.5334,153.5146,0.0254,0.0126,normal
