region,date,indicator,unit,observed,trend,seasonal,expected,residual,residual_pct_of_trend,severity
浙江,2021-01-01,全社会用电量,亿千瓦时,465.5998,452.6273,-27.0036,425.6237,39.9761,8.832,watch
浙江,2021-02-01,全社会用电量,亿千瓦时,256.1031,454.5369,-94.6457,359.8912,-103.7881,-22.8338,strong
浙江,2021-03-01,全社会用电量,亿千瓦时,447.4071,456.4449,-7.1157,449.3292,-1.9221,-0.4211,normal
浙江,2021-04-01,全社会用电量,亿千瓦时,433.6378,458.3526,-25.5774,432.7753,0.8625,0.1882,normal
浙江,2021-05-01,全社会用电量,亿千瓦时,452.5544,460.264,-8.2267,452.0373,0.5171,0.1123,normal
浙江,2021-06-01,全社会用电量,亿千瓦时,478.0096,462.1828,13.7903,475.9732,2.0364,0.4406,normal
浙江,2021-07-01,全社会用电量,亿千瓦时,562.7703,464.1115,98.115,562.2265,0.5438,0.1172,normal
浙江,2021-08-01,全社会用电量,亿千瓦时,561.889,466.0492,96.0183,562.0676,-0.1786,-0.0383,normal
浙江,2021-09-01,全社会用电量,亿千瓦时,512.2877,467.9914,44.4686,512.46,-0.1723,-0.0368,normal
浙江,2021-10-01,全社会用电量,亿千瓦时,430.1101,469.9279,-37.2281,432.6998,-2.5897,-0.5511,normal
浙江,2021-11-01,全社会用电量,亿千瓦时,437.2489,471.8426,-33.8438,437.9987,-0.7498,-0.1589,normal
浙江,2021-12-01,全社会用电量,亿千瓦时,476.4931,473.7455,2.8885,476.634,-0.1409,-0.0297,normal
浙江,2022-01-01,全社会用电量,亿千瓦时,431.338,475.7065,-44.2191,431.4874,-0.1494,-0.0314,normal
浙江,2022-02-01,全社会用电量,亿千瓦时,375.7401,477.9138,-102.0286,375.8851,-0.145,-0.0303,normal
浙江,2022-03-01,全社会用电量,亿千瓦时,474.8464,480.4124,-7.1697,473.2427,1.6037,0.3338,normal
浙江,2022-04-01,全社会用电量,亿千瓦时,430.5708,483.0594,-33.6956,449.3638,-18.793,-3.8904,normal
浙江,2022-05-01,全社会用电量,亿千瓦时,438.4435,485.6796,-17.4061,468.2734,-29.8299,-6.1419,watch
浙江,2022-06-01,全社会用电量,亿千瓦时,485.2202,488.2633,1.2075,489.4708,-4.2506,-0.8705,normal
浙江,2022-07-01,全社会用电量,亿千瓦时,624.9475,490.8367,116.1326,606.9693,17.9782,3.6628,normal
浙江,2022-08-01,全社会用电量,亿千瓦时,627.5656,493.3232,121.3823,614.7055,12.8601,2.6068,normal
浙江,2022-09-01,全社会用电量,亿千瓦时,483.3107,495.7344,52.0247,547.7592,-64.4485,-13.0006,strong
浙江,2022-10-01,全社会用电量,亿千瓦时,464.215,498.1589,-37.662,460.497,3.718,0.7464,normal
浙江,2022-11-01,全社会用电量,亿千瓦时,449.4513,500.6745,-38.4048,462.2697,-12.8184,-2.5602,normal
浙江,2022-12-01,全社会用电量,亿千瓦时,513.6992,503.3013,11.3248,514.6261,-0.9269,-0.1842,normal
浙江,2023-01-01,全社会用电量,亿千瓦时,341.1477,505.9558,-61.451,444.5048,-103.3571,-20.4281,strong
浙江,2023-02-01,全社会用电量,亿千瓦时,442.2964,508.5956,-109.4287,399.1669,43.1295,8.4801,watch
浙江,2023-03-01,全社会用电量,亿千瓦时,506.4951,511.3378,-7.2342,504.1036,2.3915,0.4677,normal
浙江,2023-04-01,全社会用电量,亿千瓦时,467.4495,514.2663,-41.6606,472.6057,-5.1562,-1.0026,normal
浙江,2023-05-01,全社会用电量,亿千瓦时,488.2146,517.3573,-26.4935,490.8638,-2.6492,-0.5121,normal
浙江,2023-06-01,全社会用电量,亿千瓦时,532.5154,520.5758,-11.2922,509.2836,23.2318,4.4627,normal
浙江,2023-07-01,全社会用电量,亿千瓦时,655.4505,523.9214,134.2469,658.1683,-2.7178,-0.5187,normal
浙江,2023-08-01,全社会用电量,亿千瓦时,635.7354,527.38,146.7313,674.1112,-38.3758,-7.2767,watch
浙江,2023-09-01,全社会用电量,亿千瓦时,557.714,530.885,59.5666,590.4516,-32.7376,-6.1666,watch
浙江,2023-10-01,全社会用电量,亿千瓦时,496.797,534.433,-38.2307,496.2023,0.5947,0.1113,normal
浙江,2023-11-01,全社会用电量,亿千瓦时,497.0234,538.0218,-43.0678,494.954,2.0694,0.3846,normal
浙江,2023-12-01,全社会用电量,亿千瓦时,571.1593,541.6716,19.6855,561.3571,9.8022,1.8096,normal
浙江,2024-01-01,全社会用电量,亿千瓦时,551.6544,545.3729,-78.694,466.6789,84.9755,15.5812,strong
浙江,2024-02-01,全社会用电量,亿千瓦时,354.7761,548.9741,-116.8392,432.1349,-77.3588,-14.0915,strong
浙江,2024-03-01,全社会用电量,亿千瓦时,540.4192,552.3917,-7.3429,545.0489,-4.6297,-0.8381,normal
浙江,2024-04-01,全社会用电量,亿千瓦时,508.683,555.6316,-49.5285,506.1031,2.5798,0.4643,normal
浙江,2024-05-01,全社会用电量,亿千瓦时,524.8685,558.7111,-35.5154,523.1957,1.6728,0.2994,normal
浙江,2024-06-01,全社会用电量,亿千瓦时,538.9814,561.6039,-23.6507,537.9532,1.0282,0.1831,normal
浙江,2024-07-01,全社会用电量,亿千瓦时,718.6396,564.4969,152.4273,716.9241,1.7155,0.3039,normal
浙江,2024-08-01,全社会用电量,亿千瓦时,739.5127,567.3924,172.0683,739.4607,0.052,0.0092,normal
浙江,2024-09-01,全社会用电量,亿千瓦时,637.4285,570.2825,67.0957,637.3782,0.0503,0.0088,normal
浙江,2024-10-01,全社会用电量,亿千瓦时,532.8752,573.1625,-38.9871,534.1755,-1.3003,-0.2269,normal
浙江,2024-11-01,全社会用电量,亿千瓦时,526.9564,576.0311,-47.8081,528.223,-1.2666,-0.2199,normal
浙江,2024-12-01,全社会用电量,亿千瓦时,606.0565,578.8895,28.0241,606.9136,-0.8571,-0.1481,normal
浙江,2025-01-01,全社会用电量,亿千瓦时,485.8246,581.7403,-95.9534,485.7869,0.0377,0.0065,normal
浙江,2025-02-01,全社会用电量,亿千瓦时,460.3528,584.5866,-124.2672,460.3194,0.0334,0.0057,normal
浙江,2025-03-01,全社会用电量,亿千瓦时,580.978,587.4315,-7.5543,579.8772,1.1008,0.1874,normal
