region,sector,period,date,indicator,unit,observed,trend,seasonal,expected,residual_pp,severity
浙江,第一产业,2010Q1,2010-03-01,累计增加值同比增速,%,3.3,2.8536,0.3425,3.1961,0.1039,normal
浙江,第一产业,2010Q2,2010-06-01,累计增加值同比增速,%,2.0,2.9,-0.7011,2.1988,-0.1988,normal
浙江,第一产业,2010Q3,2010-09-01,累计增加值同比增速,%,3.2,2.9459,0.1073,3.0533,0.1467,normal
浙江,第一产业,2010Q4,2010-12-01,累计增加值同比增速,%,3.2,2.9922,0.3267,3.3188,-0.1188,normal
浙江,第一产业,2011Q1,2011-03-01,累计增加值同比增速,%,3.1,3.0435,0.0958,3.1393,-0.0393,normal
浙江,第一产业,2011Q2,2011-06-01,累计增加值同比增速,%,3.0,3.082,-0.4896,2.5924,0.4076,normal
浙江,第一产业,2011Q3,2011-09-01,累计增加值同比增速,%,3.0,3.0482,0.1293,3.1775,-0.1775,normal
浙江,第一产业,2011Q4,2011-12-01,累计增加值同比增速,%,3.6,2.8624,0.3323,3.1947,0.4053,normal
浙江,第一产业,2012Q1,2012-03-01,累计增加值同比增速,%,0.8,2.618,-0.1339,2.4842,-1.6842,normal
浙江,第一产业,2012Q2,2012-06-01,累计增加值同比增速,%,2.1,2.3456,-0.2846,2.061,0.039,normal
浙江,第一产业,2012Q3,2012-09-01,累计增加值同比增速,%,2.1,2.0006,0.1479,2.1485,-0.0485,normal
浙江,第一产业,2012Q4,2012-12-01,累计增加值同比增速,%,2.0,1.8138,0.3496,2.1634,-0.1634,normal
浙江,第一产业,2013Q1,2013-03-01,累计增加值同比增速,%,2.6,1.7229,-0.3686,1.3543,1.2457,normal
浙江,第一产业,2013Q2,2013-06-01,累计增加值同比增速,%,2.4,1.5771,-0.0868,1.4903,0.9097,normal
浙江,第一产业,2013Q3,2013-09-01,累计增加值同比增速,%,1.8,1.4476,0.1928,1.6405,0.1595,normal
浙江,第一产业,2013Q4,2013-12-01,累计增加值同比增速,%,0.4,1.3137,0.3623,1.676,-1.276,normal
浙江,第一产业,2014Q1,2014-03-01,累计增加值同比增速,%,0.3,1.1214,-0.6165,0.5049,-0.2049,normal
浙江,第一产业,2014Q2,2014-06-01,累计增加值同比增速,%,0.9,0.9984,-0.0068,0.9916,-0.0916,normal
浙江,第一产业,2014Q3,2014-09-01,累计增加值同比增速,%,1.1,1.0282,0.1855,1.2137,-0.1137,normal
浙江,第一产业,2014Q4,2014-12-01,累计增加值同比增速,%,1.4,1.1097,0.3234,1.4331,-0.0331,normal
浙江,第一产业,2015Q1,2015-03-01,累计增加值同比增速,%,1.1,1.1477,-0.4438,0.7038,0.3962,normal
浙江,第一产业,2015Q2,2015-06-01,累计增加值同比增速,%,1.2,1.1924,-0.0432,1.1492,0.0508,normal
浙江,第一产业,2015Q3,2015-09-01,累计增加值同比增速,%,1.1,1.2728,0.133,1.4058,-0.3058,normal
浙江,第一产业,2015Q4,2015-12-01,累计增加值同比增速,%,1.5,1.3809,0.4242,1.8051,-0.3051,normal
浙江,第一产业,2016Q1,2016-03-01,累计增加值同比增速,%,1.2,1.5737,-0.4459,1.1278,0.0722,normal
浙江,第一产业,2016Q2,2016-06-01,累计增加值同比增速,%,1.7,1.773,-0.1407,1.6322,0.0678,normal
浙江,第一产业,2016Q3,2016-09-01,累计增加值同比增速,%,2.5,1.8665,0.0946,1.9611,0.5389,normal
浙江,第一产业,2016Q4,2016-12-01,累计增加值同比增速,%,2.7,1.8874,0.539,2.4264,0.2736,normal
浙江,第一产业,2017Q1,2017-03-01,累计增加值同比增速,%,1.1,1.8782,-0.4529,1.4253,-0.3253,normal
浙江,第一产业,2017Q2,2017-06-01,累计增加值同比增速,%,1.5,1.843,-0.2091,1.6339,-0.1339,normal
浙江,第一产业,2017Q3,2017-09-01,累计增加值同比增速,%,1.9,1.8266,0.1151,1.9417,-0.0417,normal
浙江,第一产业,2017Q4,2017-12-01,累计增加值同比增速,%,2.8,1.8339,0.5526,2.3866,0.4134,normal
浙江,第一产业,2018Q1,2018-03-01,累计增加值同比增速,%,1.4,1.8284,-0.4177,1.4107,-0.0107,normal
浙江,第一产业,2018Q2,2018-06-01,累计增加值同比增速,%,1.5,1.7748,-0.2291,1.5456,-0.0456,normal
浙江,第一产业,2018Q3,2018-09-01,累计增加值同比增速,%,1.8,1.7048,0.0695,1.7743,0.0257,normal
浙江,第一产业,2018Q4,2018-12-01,累计增加值同比增速,%,1.9,1.6732,0.4217,2.0949,-0.1949,normal
浙江,第一产业,2019Q1,2019-03-01,累计增加值同比增速,%,1.5,1.666,-0.1853,1.4807,0.0193,normal
浙江,第一产业,2019Q2,2019-06-01,累计增加值同比增速,%,1.6,1.6889,-0.1593,1.5295,0.0705,normal
浙江,第一产业,2019Q3,2019-09-01,累计增加值同比增速,%,1.7,1.6867,0.0765,1.7632,-0.0632,normal
浙江,第一产业,2019Q4,2019-12-01,累计增加值同比增速,%,2.0,1.5899,0.158,1.7479,0.2521,normal
浙江,第一产业,2020Q1,2020-03-01,累计增加值同比增速,%,-0.7,1.5053,-0.2394,1.2659,-1.9659,normal
浙江,第一产业,2020Q2,2020-06-01,累计增加值同比增速,%,1.3,1.4203,0.0765,1.4968,-0.1968,normal
浙江,第一产业,2020Q3,2020-09-01,累计增加值同比增速,%,1.4,1.3352,0.0943,1.4294,-0.0294,normal
浙江,第一产业,2020Q4,2020-12-01,累计增加值同比增速,%,1.3,1.5829,-0.0563,1.5266,-0.2266,normal
浙江,第一产业,2021Q1,2021-03-01,累计增加值同比增速,%,2.8,1.8702,-0.1841,1.6861,1.1139,normal
浙江,第一产业,2021Q2,2021-06-01,累计增加值同比增速,%,3.1,2.0876,0.2541,2.3417,0.7583,normal
浙江,第一产业,2021Q3,2021-09-01,累计增加值同比增速,%,2.7,2.3842,0.032,2.4162,0.2838,normal
浙江,第一产业,2021Q4,2021-12-01,累计增加值同比增速,%,2.2,2.6021,-0.158,2.4441,-0.2441,normal
浙江,第一产业,2022Q1,2022-03-01,累计增加值同比增速,%,2.4,2.7055,-0.2099,2.4956,-0.0956,normal
浙江,第一产业,2022Q2,2022-06-01,累计增加值同比增速,%,3.4,2.8732,0.367,3.2402,0.1598,normal
浙江,第一产业,2022Q3,2022-09-01,累计增加值同比增速,%,2.8,3.1406,-0.0229,3.1177,-0.3177,normal
浙江,第一产业,2022Q4,2022-12-01,累计增加值同比增速,%,3.2,3.41,-0.1491,3.2609,-0.0609,normal
浙江,第一产业,2023Q1,2023-03-01,累计增加值同比增速,%,4.1,3.6389,-0.118,3.5208,0.5792,normal
浙江,第一产业,2023Q2,2023-06-01,累计增加值同比增速,%,4.3,3.8643,0.255,4.1192,0.1808,normal
浙江,第一产业,2023Q3,2023-09-01,累计增加值同比增速,%,3.9,4.0071,-0.0257,3.9814,-0.0814,normal
浙江,第一产业,2023Q4,2023-12-01,累计增加值同比增速,%,4.2,3.9939,-0.037,3.9569,0.2431,normal
浙江,第一产业,2024Q1,2024-03-01,累计增加值同比增速,%,3.9,3.9095,-0.1263,3.7831,0.1169,normal
浙江,第一产业,2024Q2,2024-06-01,累计增加值同比增速,%,3.8,3.7961,0.1073,3.9034,-0.1034,normal
浙江,第一产业,2024Q3,2024-09-01,累计增加值同比增速,%,3.7,3.6629,0.0015,3.6644,0.0356,normal
浙江,第一产业,2024Q4,2024-12-01,累计增加值同比增速,%,3.5,3.5743,0.1062,3.6805,-0.1805,normal
浙江,第一产业,2025Q1,2025-03-01,累计增加值同比增速,%,3.3,3.5739,-0.1432,3.4307,-0.1307,normal
浙江,第一产业,2025Q2,2025-06-01,累计增加值同比增速,%,3.5,3.5773,-0.0656,3.5117,-0.0117,normal
浙江,第一产业,2025Q3,2025-09-01,累计增加值同比增速,%,3.7,3.5883,0.0561,3.6445,0.0555,normal
浙江,第一产业,2025Q4,2025-12-01,累计增加值同比增速,%,3.9,3.6077,0.2509,3.8586,0.0414,normal
