region,sector,period,date,indicator,unit,observed,trend,seasonal,expected,residual_pp,severity
浙江,第三产业,2010Q1,2010-03-01,累计增加值同比增速,%,12.3,12.3623,-0.2238,12.1385,0.1615,normal
浙江,第三产业,2010Q2,2010-06-01,累计增加值同比增速,%,11.4,11.9719,-0.3523,11.6196,-0.2196,normal
浙江,第三产业,2010Q3,2010-09-01,累计增加值同比增速,%,11.3,11.5745,-0.104,11.4705,-0.1705,normal
浙江,第三产业,2010Q4,2010-12-01,累计增加值同比增速,%,12.1,11.1667,0.6715,11.8381,0.2619,normal
浙江,第三产业,2011Q1,2011-03-01,累计增加值同比增速,%,10.5,10.7719,-0.3049,10.4669,0.0331,normal
浙江,第三产业,2011Q2,2011-06-01,累计增加值同比增速,%,10.3,10.2707,-0.2616,10.0091,0.2909,normal
浙江,第三产业,2011Q3,2011-09-01,累计增加值同比增速,%,9.7,9.7527,-0.0249,9.7278,-0.0278,normal
浙江,第三产业,2011Q4,2011-12-01,累计增加值同比增速,%,9.4,9.3548,0.5744,9.9292,-0.5292,normal
浙江,第三产业,2012Q1,2012-03-01,累计增加值同比增速,%,8.2,9.0797,-0.3623,8.7173,-0.5173,normal
浙江,第三产业,2012Q2,2012-06-01,累计增加值同比增速,%,8.8,8.914,-0.169,8.745,0.055,normal
浙江,第三产业,2012Q3,2012-09-01,累计增加值同比增速,%,9.2,8.8405,0.0223,8.8628,0.3372,normal
浙江,第三产业,2012Q4,2012-12-01,累计增加值同比增速,%,9.3,8.761,0.4871,9.2481,0.0519,normal
浙江,第三产业,2013Q1,2013-03-01,累计增加值同比增速,%,8.2,8.6351,-0.4131,8.2219,-0.0219,normal
浙江,第三产业,2013Q2,2013-06-01,累计增加值同比增速,%,8.1,8.4855,-0.1132,8.3723,-0.2723,normal
浙江,第三产业,2013Q3,2013-09-01,累计增加值同比增速,%,8.5,8.375,0.0146,8.3896,0.1104,normal
浙江,第三产业,2013Q4,2013-12-01,累计增加值同比增速,%,8.7,8.3412,0.4479,8.789,-0.089,normal
浙江,第三产业,2014Q1,2014-03-01,累计增加值同比增速,%,7.9,8.3584,-0.3063,8.0521,-0.1521,normal
浙江,第三产业,2014Q2,2014-06-01,累计增加值同比增速,%,8.4,8.5947,-0.0779,8.5168,-0.1168,normal
浙江,第三产业,2014Q3,2014-09-01,累计增加值同比增速,%,8.4,9.2252,-0.0775,9.1477,-0.7477,normal
浙江,第三产业,2014Q4,2014-12-01,累计增加值同比增速,%,8.7,9.847,0.385,10.2321,-1.5321,normal
浙江,第三产业,2015Q1,2015-03-01,累计增加值同比增速,%,10.8,10.4412,-0.2122,10.2289,0.5711,normal
浙江,第三产业,2015Q2,2015-06-01,累计增加值同比增速,%,11.4,11.0057,0.0148,11.0205,0.3795,normal
浙江,第三产业,2015Q3,2015-09-01,累计增加值同比增速,%,11.3,10.9884,-0.1807,10.8077,0.4923,normal
