region,sector,period,date,indicator,unit,observed,trend,seasonal,expected,residual_pp,severity
浙江,第二产业,2010Q1,2010-03-01,累计增加值同比增速,%,18.6,17.3828,1.3715,18.7542,-0.1542,normal
浙江,第二产业,2010Q2,2010-06-01,累计增加值同比增速,%,16.5,16.029,0.0144,16.0434,0.4566,normal
浙江,第二产业,2010Q3,2010-09-01,累计增加值同比增速,%,14.3,14.697,-0.3735,14.3235,-0.0235,normal
浙江,第二产业,2010Q4,2010-12-01,累计增加值同比增速,%,12.3,13.3879,-0.7092,12.6787,-0.3787,normal
浙江,第二产业,2011Q1,2011-03-01,累计增加值同比增速,%,10.8,12.0611,1.0517,13.1127,-2.3127,normal
浙江,第二产业,2011Q2,2011-06-01,累计增加值同比增速,%,10.1,10.9352,-0.1739,10.7613,-0.6613,normal
浙江,第二产业,2011Q3,2011-09-01,累计增加值同比增速,%,9.7,9.9401,-0.237,9.7031,-0.0031,normal
浙江,第二产业,2011Q4,2011-12-01,累计增加值同比增速,%,9.1,9.115,-0.3403,8.7747,0.3253,normal
浙江,第二产业,2012Q1,2012-03-01,累计增加值同比增速,%,6.4,8.4676,0.714,9.1816,-2.7816,normal
浙江,第二产业,2012Q2,2012-06-01,累计增加值同比增速,%,6.5,7.9835,-0.351,7.6326,-1.1326,normal
浙江,第二产业,2012Q3,2012-09-01,累计增加值同比增速,%,6.8,7.4608,-0.1197,7.3411,-0.5411,normal
浙江,第二产业,2012Q4,2012-12-01,累计增加值同比增速,%,7.3,7.4787,-0.0114,7.4673,-0.1673,normal
浙江,第二产业,2013Q1,2013-03-01,累计增加值同比增速,%,8.6,7.8424,0.5636,8.406,0.194,normal
浙江,第二产业,2013Q2,2013-06-01,累计增加值同比增速,%,8.9,8.0214,-0.5693,7.4521,1.4479,normal
浙江,第二产业,2013Q3,2013-09-01,累计增加值同比增速,%,8.5,7.9796,-0.003,7.9766,0.5234,normal
浙江,第二产业,2013Q4,2013-12-01,累计增加值同比增速,%,8.4,7.7795,0.2816,8.0611,0.3389,normal
浙江,第二产业,2014Q1,2014-03-01,累计增加值同比增速,%,6.5,7.4074,0.0239,7.4313,-0.9313,normal
浙江,第二产业,2014Q2,2014-06-01,累计增加值同比增速,%,6.5,7.0374,-0.2938,6.7436,-0.2436,normal
浙江,第二产业,2014Q3,2014-09-01,累计增加值同比增速,%,6.9,6.7309,0.1088,6.8397,0.0603,normal
浙江,第二产业,2014Q4,2014-12-01,累计增加值同比增速,%,7.1,6.4981,0.2595,6.7576,0.3424,normal
浙江,第二产业,2015Q1,2015-03-01,累计增加值同比增速,%,6.0,6.2139,-0.2923,5.9216,0.0784,normal
浙江,第二产业,2015Q2,2015-06-01,累计增加值同比增速,%,5.8,5.8976,-0.0641,5.8334,-0.0334,normal
浙江,第二产业,2015Q3,2015-09-01,累计增加值同比增速,%,5.4,5.649,0.179,5.828,-0.428,normal
浙江,第二产业,2015Q4,2015-12-01,累计增加值同比增速,%,5.4,5.5592,0.1173,5.6765,-0.2765,normal
浙江,第二产业,2016Q1,2016-03-01,累计增加值同比增速,%,5.0,5.6006,-0.3591,5.2415,-0.2415,normal
浙江,第二产业,2016Q2,2016-06-01,累计增加值同比增速,%,6.1,5.7329,0.05,5.783,0.317,normal
浙江,第二产业,2016Q3,2016-09-01,累计增加值同比增速,%,6.2,5.9232,0.2085,6.1317,0.0683,normal
浙江,第二产业,2016Q4,2016-12-01,累计增加值同比增速,%,5.8,6.1351,-0.0795,6.0557,-0.2557,normal
浙江,第二产业,2017Q1,2017-03-01,累计增加值同比增速,%,6.1,6.338,-0.1546,6.1834,-0.0834,normal
浙江,第二产业,2017Q2,2017-06-01,累计增加值同比增速,%,6.6,6.5172,-0.0215,6.4958,0.1042,normal
浙江,第二产业,2017Q3,2017-09-01,累计增加值同比增速,%,7.3,6.6506,0.3181,6.9688,0.3312,normal
浙江,第二产业,2017Q4,2017-12-01,累计增加值同比增速,%,7.0,6.7029,0.091,6.7939,0.2061,normal
浙江,第二产业,2018Q1,2018-03-01,累计增加值同比增速,%,6.9,6.669,0.5309,7.1999,-0.2999,normal
浙江,第二产业,2018Q2,2018-06-01,累计增加值同比增速,%,7.4,6.5414,-1.6512,4.8902,2.5098,normal
浙江,第二产业,2018Q3,2018-09-01,累计增加值同比增速,%,7.2,6.4158,0.4072,6.823,0.377,normal
浙江,第二产业,2018Q4,2018-12-01,累计增加值同比增速,%,6.7,6.299,0.6754,6.9745,-0.2745,normal
浙江,第二产业,2019Q1,2019-03-01,累计增加值同比增速,%,7.9,5.9782,1.6196,7.5979,0.3021,normal
浙江,第二产业,2019Q2,2019-06-01,累计增加值同比增速,%,6.1,5.5375,-2.8886,2.649,3.451,watch
浙江,第二产业,2019Q3,2019-09-01,累计增加值同比增速,%,5.7,4.9632,0.3482,5.3113,0.3887,normal
浙江,第二产业,2019Q4,2019-12-01,累计增加值同比增速,%,5.9,4.1652,1.5973,5.7624,0.1376,normal
浙江,第二产业,2020Q1,2020-03-01,累计增加值同比增速,%,-11.0,3.2051,1.4777,4.6828,-15.6828,strong
浙江,第二产业,2020Q2,2020-06-01,累计增加值同比增速,%,-2.0,2.226,-4.003,-1.7771,-0.2229,normal
浙江,第二产业,2020Q3,2020-09-01,累计增加值同比增速,%,1.0,1.3005,0.0055,1.3059,-0.3059,normal
浙江,第二产业,2020Q4,2020-12-01,累计增加值同比增速,%,3.1,0.6616,2.3258,2.9874,0.1126,normal
浙江,第二产业,2021Q1,2021-03-01,累计增加值同比增速,%,27.1,2.8671,1.3231,4.1901,22.9099,strong
浙江,第二产业,2021Q2,2021-06-01,累计增加值同比增速,%,16.9,4.1107,-3.1122,0.9985,15.9015,strong
浙江,第二产业,2021Q3,2021-09-01,累计增加值同比增速,%,13.3,5.395,-0.6561,4.739,8.561,strong
浙江,第二产业,2021Q4,2021-12-01,累计增加值同比增速,%,10.2,7.6166,2.5903,10.2069,-0.0069,normal
浙江,第二产业,2022Q1,2022-03-01,累计增加值同比增速,%,7.6,6.7112,0.8724,7.5836,0.0164,normal
浙江,第二产业,2022Q2,2022-06-01,累计增加值同比增速,%,3.7,5.8077,-2.0899,3.7178,-0.0178,normal
浙江,第二产业,2022Q3,2022-09-01,累计增加值同比增速,%,4.0,5.6078,-0.9134,4.6944,-0.6944,normal
浙江,第二产业,2022Q4,2022-12-01,累计增加值同比增速,%,3.4,5.6583,1.5665,7.2248,-3.8248,watch
浙江,第二产业,2023Q1,2023-03-01,累计增加值同比增速,%,2.7,5.6269,0.8516,6.4785,-3.7785,watch
浙江,第二产业,2023Q2,2023-06-01,累计增加值同比增速,%,4.7,5.7796,-1.2128,4.5668,0.1332,normal
浙江,第二产业,2023Q3,2023-09-01,累计增加值同比增速,%,5.1,6.0489,-0.7757,5.2731,-0.1731,normal
浙江,第二产业,2023Q4,2023-12-01,累计增加值同比增速,%,5.0,6.3176,0.8605,7.1781,-2.1781,normal
浙江,第二产业,2024Q1,2024-03-01,累计增加值同比增速,%,7.3,6.5065,0.6935,7.2,0.1,normal
浙江,第二产业,2024Q2,2024-06-01,累计增加值同比增速,%,6.5,6.6131,-0.5252,6.0879,0.4121,normal
浙江,第二产业,2024Q3,2024-09-01,累计增加值同比增速,%,6.3,6.4993,-0.5763,5.9229,0.3771,normal
浙江,第二产业,2024Q4,2024-12-01,累计增加值同比增速,%,6.1,6.2395,0.1426,6.3821,-0.2821,normal
浙江,第二产业,2025Q1,2025-03-01,累计增加值同比增速,%,6.5,6.0028,0.5309,6.5336,-0.0336,normal
浙江,第二产业,2025Q2,2025-06-01,累计增加值同比增速,%,5.6,5.7895,0.1212,5.9107,-0.3107,normal
浙江,第二产业,2025Q3,2025-09-01,累计增加值同比增速,%,5.2,5.5816,-0.3197,5.262,-0.062,normal
浙江,第二产业,2025Q4,2025-12-01,累计增加值同比增速,%,5.1,5.3869,-0.5796,4.8074,0.2926,normal
