node_id,node_type,name,properties_json
region:CN-ZJ,Region,浙江省,"{""code"":""CN-ZJ""}"
metric:electricity_total_monthly,Metric,全社会用电量,"{""unit"":""亿千瓦时""}"
metric:gdp_primary_quarterly,Metric,第一产业单季度增加值,"{""unit"":""亿元""}"
metric:gdp_secondary_quarterly,Metric,第二产业单季度增加值,"{""unit"":""亿元""}"
metric:gdp_tertiary_quarterly,Metric,第三产业单季度增加值,"{""unit"":""亿元""}"
cause:spring_festival_shift,CauseHypothesis,春节移动假日与停复工节奏,"{""name"":""春节移动假日与停复工节奏"",""category"":""holiday"",""required_evidence"":[""春节日期"",""制造业开工率"",""分行业用电量""]}"
cause:weather_temperature,CauseHypothesis,极端温度与制冷/采暖负荷,"{""name"":""极端温度与制冷/采暖负荷"",""category"":""weather"",""required_evidence"":[""逐日平均/最高温度"",""空调用电负荷"",""高温日数""]}"
cause:industrial_activity,CauseHypothesis,工业生产与订单变化,"{""name"":""工业生产与订单变化"",""category"":""economy"",""required_evidence"":[""规上工业增加值"",""PMI/订单"",""第二产业分行业用电量""]}"
cause:policy_or_power_event,CauseHypothesis,电价、需求响应、限电或重大政策事件,"{""name"":""电价、需求响应、限电或重大政策事件"",""category"":""policy_event"",""required_evidence"":[""政策发布时间"",""需求响应记录"",""电网运行事件""]}"
cause:annual_revision,CauseHypothesis,累计值差分与年度核算修订,"{""name"":""累计值差分与年度核算修订"",""category"":""data_quality"",""required_evidence"":[""GDP 历史版本/数据 vintage"",""官方单季度值""]}"
cause:public_health_event,CauseHypothesis,公共卫生事件及管控冲击,"{""name"":""公共卫生事件及管控冲击"",""category"":""event"",""required_evidence"":[""事件时间线"",""交通/复工数据"",""行业停工范围""]}"
holiday:2021:元旦,HolidayEvent,元旦,"{""start_date"":""2021-01-01"",""end_date"":""2021-01-03"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
makeup_workday:2021:2021-02-07,MakeupWorkday,春节,"{""start_date"":""2021-02-07"",""end_date"":""2021-02-07"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
holiday:2021:春节,HolidayEvent,春节,"{""start_date"":""2021-02-11"",""end_date"":""2021-02-17"",""days"":7,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
makeup_workday:2021:2021-02-20,MakeupWorkday,春节,"{""start_date"":""2021-02-20"",""end_date"":""2021-02-20"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
holiday:2021:清明节,HolidayEvent,清明节,"{""start_date"":""2021-04-03"",""end_date"":""2021-04-05"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
makeup_workday:2021:2021-04-25,MakeupWorkday,劳动节,"{""start_date"":""2021-04-25"",""end_date"":""2021-04-25"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
holiday:2021:劳动节,HolidayEvent,劳动节,"{""start_date"":""2021-05-01"",""end_date"":""2021-05-05"",""days"":5,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
makeup_workday:2021:2021-05-08,MakeupWorkday,劳动节,"{""start_date"":""2021-05-08"",""end_date"":""2021-05-08"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
holiday:2021:端午节,HolidayEvent,端午节,"{""start_date"":""2021-06-12"",""end_date"":""2021-06-14"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
makeup_workday:2021:2021-09-18,MakeupWorkday,中秋节,"{""start_date"":""2021-09-18"",""end_date"":""2021-09-18"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
holiday:2021:中秋节,HolidayEvent,中秋节,"{""start_date"":""2021-09-19"",""end_date"":""2021-09-21"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
makeup_workday:2021:2021-09-26,MakeupWorkday,国庆节,"{""start_date"":""2021-09-26"",""end_date"":""2021-09-26"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
holiday:2021:国庆节,HolidayEvent,国庆节,"{""start_date"":""2021-10-01"",""end_date"":""2021-10-07"",""days"":7,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
makeup_workday:2021:2021-10-09,MakeupWorkday,国庆节,"{""start_date"":""2021-10-09"",""end_date"":""2021-10-09"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html""}"
holiday:2022:元旦,HolidayEvent,元旦,"{""start_date"":""2022-01-01"",""end_date"":""2022-01-03"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
makeup_workday:2022:2022-01-29,MakeupWorkday,春节,"{""start_date"":""2022-01-29"",""end_date"":""2022-01-29"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
makeup_workday:2022:2022-01-30,MakeupWorkday,春节,"{""start_date"":""2022-01-30"",""end_date"":""2022-01-30"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
holiday:2022:春节,HolidayEvent,春节,"{""start_date"":""2022-01-31"",""end_date"":""2022-02-06"",""days"":7,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
makeup_workday:2022:2022-04-02,MakeupWorkday,清明节,"{""start_date"":""2022-04-02"",""end_date"":""2022-04-02"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
holiday:2022:清明节,HolidayEvent,清明节,"{""start_date"":""2022-04-03"",""end_date"":""2022-04-05"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
makeup_workday:2022:2022-04-24,MakeupWorkday,劳动节,"{""start_date"":""2022-04-24"",""end_date"":""2022-04-24"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
holiday:2022:劳动节,HolidayEvent,劳动节,"{""start_date"":""2022-04-30"",""end_date"":""2022-05-04"",""days"":5,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
makeup_workday:2022:2022-05-07,MakeupWorkday,劳动节,"{""start_date"":""2022-05-07"",""end_date"":""2022-05-07"",""days"":1,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
holiday:2022:端午节,HolidayEvent,端午节,"{""start_date"":""2022-06-03"",""end_date"":""2022-06-05"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
holiday:2022:中秋节,HolidayEvent,中秋节,"{""start_date"":""2022-09-10"",""end_date"":""2022-09-12"",""days"":3,""source_url"":""https://app.www.gov.cn/govdata/gov/202110/25/477428/article.html""}"
