date,period,metric_name,raw_value,raw_unit,value,unit,source_file,log_observed,trend_log,seasonal_log,resid_log,trend_level,seasonal_factor,expected_value,residual_value,residual_pct,residual_pct_points,robust_z,stl_weight,anomaly_level,statistical_outlier,endpoint_warning,stl_period,stl_seasonal,stl_robust,holiday_days,spring_festival_days,makeup_workdays,holiday_names,holiday_event_ids,spring_festival_window
2021-01-01,2021-01,全社会用电量,4655998.0,万千瓦时,465.5998,亿千瓦时,浙江全社会用电量信息（月度）.xlsx,6.143326466863871,6.109980449935681,-0.0631994905897703,0.09654550751796087,450.3299111028342,0.9387561819838935,422.7499879800427,42.84981201995731,0.10135970014972573,10.135970014972573,13.799009268491544,0.0,high,True,True,12,13,True,3,0,0,"[""元旦""]","[""holiday:2021:元旦""]",True
2021-02-01,2021-02,全社会用电量,2561031.0,万千瓦时,256.1031,亿千瓦时,浙江全社会用电量信息（月度）.xlsx,5.545580097778841,6.113838639443747,-0.23361388400461988,-0.33464465766028617,452.0707252770856,0.7916674323487378,357.88967032014205,-101.78657032014206,-0.2844076785705807,-28.44076785705807,-47.69958206267935,0.0,high,True,True,12,13,True,7,7,2,"[""春节""]","[""holiday:2021:春节"",""makeup_workday:2021:2021-02-07"",""makeup_workday:2021:2021-02-20""]",True
2021-03-01,2021-03,全社会用电量,4474071.0,万千瓦时,447.4071,亿千瓦时,浙江全社会用电量信息（月度）.xlsx,6.103468918398148,6.117693535494948,-0.009763125263277274,-0.004461491833522402,453.81677418712144,0.9902843793207433,449.4076625512354,-2.0005625512353618,-0.004451554163269922,-0.4451554163269922,-0.6071360389666184,0.9469755000290413,normal,False,True,12,13,True,0,0,0,[],[],True
2021-04-01,2021-04,全社会用电量,4336378.0,万千瓦时,433.6378,亿千瓦时,浙江全社会用电量信息（月度）.xlsx,6.072209623447503,6.121548192718653,-0.051358070321038625,0.0020195010498884614,455.569458121705,0.949938464856206,432.7629516835062,0.8748483164938534,0.0020215416155440202,0.20215416155440202,0.31721698423452144,0.9889760092269311,normal,False,True,12,13,True,3,0,1,"[""劳动节"",""清明节""]","[""holiday:2021:清明节"",""makeup_workday:2021:2021-04-25""]",False
2021-05-01,2021-05,全社会用电量,4525544.0,万千瓦时,452.5544,亿千瓦时,浙江全社会用电量信息（月度）.xlsx,6.1149079769084915,6.125411488511284,-0.012065683075490066,0.001562171472698104,457.33286177423247,0.9880068154043806,451.8479843413312,0.7064156586687886,0.0015633922981830306,0.15633922981830306,0.25199025356532706,0.993444458623257,normal,False,True,12,13,True,5,0,1,"[""劳动节""]","[""holiday:2021:劳动节"",""makeup_workday:2021:2021-05-08""]",False
2021-06-01,2021-06,全社会用电量,4780096.0,万千瓦时,478.0096,亿千瓦时,浙江全社会用电量信息（月度）.xlsx,6.169630815971789,6.129291830208016,0.0354723925016491,0.004866593262123686,459.1109170470463,1.0361090433545077,475.68897305522603,2.3206269447739487,0.004878454360354834,0.48784543603548336,0.723284131823644,0.9370098822131872,normal,False,True,12,13,True,3,0,0,"[""端午节""]","[""holiday:2021:端午节""]",False
2021-07-01,2021-07,全社会用电量,5627703.0,万千瓦时,562.7703,亿千瓦时,浙江全社会用电量信息（月度）.xlsx,6.33287155199274,6.133194068573709,0.1995955983351777,8.188508385398308e-05,460.9059773804556,1.2209089207124246,562.724219393477,0.04608060652299173,8.188843652878752e-05,0.008188843652878752,0.04086408457446732,0.9999822676734913,normal,False,True,12,13,True,0,0,0,[],[],False
2021-08-01,2021-08,全社会用电量,5618890.0,万千瓦时,561.889,亿千瓦时,浙江全社会用电量信息（月度）.xlsx,6.331304321489443,6.137115475475324,0.1944700007808318,-0.0002811547667125325,462.71692567307343,1.2146670432756186,562.0469999808965,-0.157999980896534,-0.0002811152464151645,-0.02811152464151645,-0.010914553274775134,0.9997850121711528,normal,False,True,12,13,True,0,0,0,[],[],False
2021-09-01,2021-09,全社会用电量,5122877.0,万千瓦时,512.2877,亿千瓦时,浙江全社会用电量信息（月度）.xlsx,6.238886381287417,6.141045485463772,0.09810822900228391,-0.0002673331786393618,464.53898582495174,1.103082164130316,512.4246698066898,-0.13696980668987635,-0.0002672974483088897,-0.02672974483088897,-0.008943246261990345,0.9998077434818237,normal,False,True,12,13,True,3,0,2,"[""中秋节"",""国庆节""]","[""holiday:2021:中秋节"",""makeup_workday:2021:2021-09-18"",""makeup_workday:2021:2021-09-26""]",False
2021-10-01,2021-10,全社会用电量,4301101.0,万千瓦时,430.1101,亿千瓦时,浙江全社会用电量信息（月度）.xlsx,6.0640412224249225,6.144962070923084,-0.07566750338798674,-0.005253345110174834,466.3619600489726,0.9271244210453189,432.3755622079639,-2.2654622079639353,-0.005239570424367068,-0.5239570424367068,-0.7200742852157314,0.9267083428874944,normal,False,True,12,13,True,7,0,1,"[""国庆节""]","[""holiday:2021:国庆节"",""makeup_workday:2021:2021-10-09""]",False
