event_id,notice_year,event_type,holiday_name,start_date,end_date,days,source_file,source_url,raw_text
holiday:2021:元旦,2021,holiday_leave_interval,元旦,2021-01-01,2021-01-03,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,一、元旦：2021年1月1日至3日放假，共3天。
makeup_workday:2021:2021-02-07,2021,makeup_workday,春节,2021-02-07,2021-02-07,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,二、春节：2月11日至17日放假调休，共7天。2月7日（星期日）、2月20日（星期六）上班。
holiday:2021:春节,2021,holiday_leave_interval,春节,2021-02-11,2021-02-17,7,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,二、春节：2月11日至17日放假调休，共7天。2月7日（星期日）、2月20日（星期六）上班。
makeup_workday:2021:2021-02-20,2021,makeup_workday,春节,2021-02-20,2021-02-20,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,二、春节：2月11日至17日放假调休，共7天。2月7日（星期日）、2月20日（星期六）上班。
holiday:2021:清明节,2021,holiday_leave_interval,清明节,2021-04-03,2021-04-05,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,三、清明节：4月3日至5日放假调休，共3天。
makeup_workday:2021:2021-04-25,2021,makeup_workday,劳动节,2021-04-25,2021-04-25,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,四、劳动节：5月1日至5日放假调休，共5天。4月25日（星期日）、5月8日（星期六）上班。
holiday:2021:劳动节,2021,holiday_leave_interval,劳动节,2021-05-01,2021-05-05,5,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,四、劳动节：5月1日至5日放假调休，共5天。4月25日（星期日）、5月8日（星期六）上班。
makeup_workday:2021:2021-05-08,2021,makeup_workday,劳动节,2021-05-08,2021-05-08,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,四、劳动节：5月1日至5日放假调休，共5天。4月25日（星期日）、5月8日（星期六）上班。
holiday:2021:端午节,2021,holiday_leave_interval,端午节,2021-06-12,2021-06-14,3,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,五、端午节：6月12日至14日放假，共3天。
makeup_workday:2021:2021-09-18,2021,makeup_workday,中秋节,2021-09-18,2021-09-18,1,国务院办公厅近五年节假日安排.docx,https://app.www.gov.cn/govdata/gov/202011/25/465322/article.html,六、中秋节：9月19日至21日放假调休，共3天。9月18日（星期六）上班。
