date,period,holiday_days,spring_festival_days,makeup_workdays,holiday_names,holiday_event_ids
2021-01-01,2021-01,3,0,0,"[""元旦""]","[""holiday:2021:元旦""]"
2021-02-01,2021-02,7,7,2,"[""春节""]","[""holiday:2021:春节"",""makeup_workday:2021:2021-02-07"",""makeup_workday:2021:2021-02-20""]"
2021-03-01,2021-03,0,0,0,[],[]
2021-04-01,2021-04,3,0,1,"[""劳动节"",""清明节""]","[""holiday:2021:清明节"",""makeup_workday:2021:2021-04-25""]"
2021-05-01,2021-05,5,0,1,"[""劳动节""]","[""holiday:2021:劳动节"",""makeup_workday:2021:2021-05-08""]"
2021-06-01,2021-06,3,0,0,"[""端午节""]","[""holiday:2021:端午节""]"
2021-07-01,2021-07,0,0,0,[],[]
2021-08-01,2021-08,0,0,0,[],[]
2021-09-01,2021-09,3,0,2,"[""中秋节"",""国庆节""]","[""holiday:2021:中秋节"",""makeup_workday:2021:2021-09-18"",""makeup_workday:2021:2021-09-26""]"
2021-10-01,2021-10,7,0,1,"[""国庆节""]","[""holiday:2021:国庆节"",""makeup_workday:2021:2021-10-09""]"
2021-11-01,2021-11,0,0,0,[],[]
2021-12-01,2021-12,0,0,0,[],[]
2022-01-01,2022-01,4,1,2,"[""元旦"",""春节""]","[""holiday:2022:元旦"",""holiday:2022:春节"",""makeup_workday:2022:2022-01-29"",""makeup_workday:2022:2022-01-30""]"
2022-02-01,2022-02,6,6,0,"[""春节""]","[""holiday:2022:春节""]"
2022-03-01,2022-03,0,0,0,[],[]
2022-04-01,2022-04,4,0,2,"[""劳动节"",""清明节""]","[""holiday:2022:劳动节"",""holiday:2022:清明节"",""makeup_workday:2022:2022-04-02"",""makeup_workday:2022:2022-04-24""]"
2022-05-01,2022-05,4,0,1,"[""劳动节""]","[""holiday:2022:劳动节"",""makeup_workday:2022:2022-05-07""]"
2022-06-01,2022-06,3,0,0,"[""端午节""]","[""holiday:2022:端午节""]"
2022-07-01,2022-07,0,0,0,[],[]
2022-08-01,2022-08,0,0,0,[],[]
2022-09-01,2022-09,3,0,0,"[""中秋节""]","[""holiday:2022:中秋节""]"
2022-10-01,2022-10,7,0,2,"[""国庆节""]","[""holiday:2022:国庆节"",""makeup_workday:2022:2022-10-08"",""makeup_workday:2022:2022-10-09""]"
2022-11-01,2022-11,0,0,0,[],[]
2022-12-01,2022-12,1,0,0,"[""元旦""]","[""holiday:2023:元旦""]"
2023-01-01,2023-01,9,7,2,"[""元旦"",""春节""]","[""holiday:2023:元旦"",""holiday:2023:春节"",""makeup_workday:2023:2023-01-28"",""makeup_workday:2023:2023-01-29""]"
2023-02-01,2023-02,0,0,0,[],[]
2023-03-01,2023-03,0,0,0,[],[]
2023-04-01,2023-04,3,0,1,"[""劳动节"",""清明节""]","[""holiday:2023:劳动节"",""holiday:2023:清明节"",""makeup_workday:2023:2023-04-23""]"
2023-05-01,2023-05,3,0,1,"[""劳动节""]","[""holiday:2023:劳动节"",""makeup_workday:2023:2023-05-06""]"
2023-06-01,2023-06,3,0,1,"[""端午节""]","[""holiday:2023:端午节"",""makeup_workday:2023:2023-06-25""]"
2023-07-01,2023-07,0,0,0,[],[]
2023-08-01,2023-08,0,0,0,[],[]
2023-09-01,2023-09,2,0,0,"[""中秋节+国庆节""]","[""holiday:2023:中秋节+国庆节""]"
2023-10-01,2023-10,6,0,2,"[""中秋节+国庆节""]","[""holiday:2023:中秋节+国庆节"",""makeup_workday:2023:2023-10-07"",""makeup_workday:2023:2023-10-08""]"
2023-11-01,2023-11,0,0,0,[],[]
2023-12-01,2023-12,0,0,0,[],[]
2024-01-01,2024-01,1,0,0,"[""元旦""]","[""holiday:2024:元旦""]"
2024-02-01,2024-02,8,8,2,"[""春节""]","[""holiday:2024:春节"",""makeup_workday:2024:2024-02-04"",""makeup_workday:2024:2024-02-18""]"
2024-03-01,2024-03,0,0,0,[],[]
2024-04-01,2024-04,3,0,2,"[""劳动节"",""清明节""]","[""holiday:2024:清明节"",""makeup_workday:2024:2024-04-07"",""makeup_workday:2024:2024-04-28""]"
2024-05-01,2024-05,5,0,1,"[""劳动节""]","[""holiday:2024:劳动节"",""makeup_workday:2024:2024-05-11""]"
2024-06-01,2024-06,1,0,0,"[""端午节""]","[""holiday:2024:端午节""]"
2024-07-01,2024-07,0,0,0,[],[]
2024-08-01,2024-08,0,0,0,[],[]
2024-09-01,2024-09,3,0,2,"[""中秋节"",""国庆节""]","[""holiday:2024:中秋节"",""makeup_workday:2024:2024-09-14"",""makeup_workday:2024:2024-09-29""]"
2024-10-01,2024-10,7,0,1,"[""国庆节""]","[""holiday:2024:国庆节"",""makeup_workday:2024:2024-10-12""]"
2024-11-01,2024-11,0,0,0,[],[]
2024-12-01,2024-12,0,0,0,[],[]
2025-01-01,2025-01,5,4,1,"[""元旦"",""春节""]","[""holiday:2025:元旦"",""holiday:2025:春节"",""makeup_workday:2025:2025-01-26""]"
2025-02-01,2025-02,4,4,1,"[""春节""]","[""holiday:2025:春节"",""makeup_workday:2025:2025-02-08""]"
2025-03-01,2025-03,0,0,0,[],[]
