date,electricity,_true_anomaly,_synthetic_temp,temperature,dayofweek,is_weekend,month,dayofyear,is_holiday,is_workday,holiday_name,is_spring_festival,days_to_cny,gdp_yoy,pmi,CDD,HDD,log_elec
2019-01-01,88.40222654527585,0,10.414103953971994,10.414103953971994,1,0,1,1,1,0,New Year's Day,0,-32.0,5.5,50.4,0.0,0.0,4.48189715649016
2019-01-02,105.20108769668241,0,4.312891922723354,4.312891922723354,2,0,1,2,0,1,,0,-31.0,5.5,50.4,0.0,5.687108077276646,4.655873639572235
2019-01-03,106.59333135009192,0,5.566116690560642,5.566116690560642,3,0,1,3,0,1,,0,-30.0,5.5,50.4,0.0,4.433883309439358,4.669020952083485
2019-01-04,104.6436656999389,0,7.448828065888252,7.448828065888252,4,0,1,4,0,1,,0,-29.0,5.5,50.4,0.0,2.551171934111748,4.650560918631412
2019-01-05,82.43643828161113,0,7.171724264735767,7.171724264735767,5,1,1,5,1,0,,0,-28.0,5.5,50.4,0.0,2.828275735264233,4.412027551323921
2019-01-06,84.97601510235239,0,5.434940335006404,5.434940335006404,6,1,1,6,1,0,,0,-27.0,5.5,50.4,0.0,4.565059664993596,4.442369041404943
2019-01-07,105.12174656522954,0,6.113586515644712,6.113586515644712,0,0,1,7,0,1,,0,-26.0,5.5,50.4,0.0,3.8864134843552884,4.6551191695643075
2019-01-08,105.49299754115715,0,5.255683499727194,5.255683499727194,1,0,1,8,0,1,,0,-25.0,5.5,50.4,0.0,4.744316500272806,4.658644576695801
2019-01-09,107.57113340082164,0,3.960585158137455,3.960585158137455,2,0,1,9,0,1,,0,-24.0,5.5,50.4,0.0,6.039414841862545,4.67815233479095
2019-01-10,103.97925084353463,0,5.882799026996038,5.882799026996038,3,0,1,10,0,1,,0,-23.0,5.5,50.4,0.0,4.117200973003962,4.644191368116522
2019-01-11,106.52325297490943,0,6.0765963656000315,6.0765963656000315,4,0,1,11,0,1,,0,-22.0,5.5,50.4,0.0,3.9234036343999685,4.66836329910983
2019-01-12,90.1244352907867,0,3.2052494707872787,3.2052494707872787,5,1,1,12,1,0,,0,-21.0,5.5,50.4,0.0,6.794750529212721,4.501191329741229
2019-01-13,92.10567401291814,0,0.2793943116354711,0.2793943116354711,6,1,1,13,1,0,,0,-20.0,5.5,50.4,0.0,9.720605688364529,4.522936548452853
2019-01-14,109.98969177585805,0,3.67605997668679,3.67605997668679,0,0,1,14,0,1,,0,-19.0,5.5,50.4,0.0,6.3239400233132095,4.700386650272691
2019-01-15,108.29775072404887,0,4.223959386688348,4.223959386688348,1,0,1,15,0,1,,0,-18.0,5.5,50.4,0.0,5.776040613311652,4.684884384853584
2019-01-16,106.29533513588106,0,4.144438842670926,4.144438842670926,2,0,1,16,0,1,,0,-17.0,5.5,50.4,0.0,5.855561157329074,4.6662214004327724
2019-01-17,109.46511519458888,0,3.2039928146474113,3.2039928146474113,3,0,1,17,0,1,,0,-16.0,5.5,50.4,0.0,6.796007185352589,4.695605915800488
2019-01-18,106.29057205486414,0,4.08575225083193,4.08575225083193,4,0,1,18,0,1,,0,-15.0,5.5,50.4,0.0,5.91424774916807,4.6661765895506155
2019-01-19,88.21217047742714,0,4.669872699897103,4.669872699897103,5,1,1,19,1,0,,0,-14.0,5.5,50.4,0.0,5.330127300102897,4.479744940765794
2019-01-20,86.35533044938778,0,4.9241371068922,4.9241371068922,6,1,1,20,1,0,,0,-13.0,5.5,50.4,0.0,5.0758628931078,4.458470533427294
2019-01-21,104.87385180760542,0,4.534401114737858,4.534401114737858,0,0,1,21,0,1,,0,-12.0,5.5,50.4,0.0,5.465598885262142,4.652758216528205
2019-01-22,100.72251557661984,0,6.635711836764267,6.635711836764267,1,0,1,22,0,1,,0,-11.0,5.5,50.4,0.0,3.3642881632357327,4.612369365363633
2019-01-23,103.15415318019036,0,6.011151390270754,6.011151390270754,2,0,1,23,0,1,,0,-10.0,5.5,50.4,0.0,3.9888486097292457,4.636224502208311
2019-01-24,105.41068290091772,0,0.8921411549741922,0.8921411549741922,3,0,1,24,0,1,,0,-9.0,5.5,50.4,0.0,9.107858845025808,4.6578639867672935
2019-01-25,97.54193417949051,0,5.8831350170893675,5.8831350170893675,4,0,1,25,0,1,,0,-8.0,5.5,50.4,0.0,4.1168649829106325,4.580282379688445
2019-01-26,82.02679128127436,0,1.8707099671040215,1.8707099671040215,5,1,1,26,1,0,,0,-7.0,5.5,50.4,0.0,8.129290032895979,4.4070459168443055
2019-01-27,76.03943053904108,0,7.7190764391645885,7.7190764391645885,6,1,1,27,1,0,,0,-6.0,5.5,50.4,0.0,2.2809235608354115,4.331252028626393
2019-01-28,93.10669754282131,0,5.063958843137611,5.063958843137611,0,0,1,28,0,1,,0,-5.0,5.5,50.4,0.0,4.936041156862389,4.533746120930979
2019-01-29,89.41474778381082,0,6.608465917651365,6.608465917651365,1,0,1,29,0,1,,0,-4.0,5.5,50.4,0.0,3.3915340823486346,4.49328563259913
2019-01-30,90.89847968036803,0,3.308800748828971,3.308800748828971,2,0,1,30,0,1,,0,-3.0,5.5,50.4,0.0,6.691199251171029,4.5097432758550955
2019-01-31,89.50602799914114,0,5.424290917556249,5.424290917556249,3,0,1,31,0,1,,0,-2.0,5.5,50.4,0.0,4.575709082443751,4.49430597495848
2019-02-01,83.24913061933249,0,7.506389642654186,7.506389642654186,4,0,2,32,0,1,,0,-1.0,5.84,50.9,0.0,2.4936103573458137,4.421837685795003
2019-02-02,66.91951026759328,0,8.769765017119838,8.769765017119838,5,1,2,33,0,1,Spring Festival,1,0.0,5.84,50.9,0.0,1.2302349828801624,4.203490557914817
2019-02-03,68.78923130672243,0,6.380956171439253,6.380956171439253,6,1,2,34,0,1,Spring Festival,1,1.0,5.84,50.9,0.0,3.6190438285607467,4.231047210983882
2019-02-04,74.28146668481887,0,4.369211869335034,4.369211869335034,0,0,2,35,1,0,Spring Festival,1,2.0,5.84,50.9,0.0,5.630788130664966,4.307861481642542
2019-02-05,70.17753919294093,0,9.953551990818045,9.953551990818045,1,0,2,36,1,0,Spring Festival,1,3.0,5.84,50.9,0.0,0.046448009181954575,4.251028305318887
2019-02-06,75.2098739289377,0,2.341892273561085,2.341892273561085,2,0,2,37,1,0,Spring Festival,1,4.0,5.84,50.9,0.0,7.6581077264389155,4.320282524582921
2019-02-07,70.98567618455343,0,6.539529634772523,6.539529634772523,3,0,2,38,1,0,Spring Festival,1,5.0,5.84,50.9,0.0,3.4604703652274766,4.262478112808752
2019-02-08,73.96736376363326,0,2.9512578805947234,2.9512578805947234,4,0,2,39,1,0,Spring Festival,1,6.0,5.84,50.9,0.0,7.048742119405277,4.303623965700566
2019-02-09,60.61877099794784,0,5.016991294434357,5.016991294434357,5,1,2,40,1,0,Spring Festival,1,7.0,5.84,50.9,0.0,4.983008705565643,4.104604597553269
