date,gdp_yoy,pmi
2019-01-01,5.5,50.4
2019-02-01,5.84,50.9
2019-03-01,5.91,51.9
2019-04-01,5.94,51.8
2019-05-01,6.26,51.3
2019-06-01,6.24,51.3
2019-07-01,6.66,51.3
2019-08-01,7.1,52.3
2019-09-01,6.55,51.0
2019-10-01,6.46,50.8
2019-11-01,6.69,51.0
2019-12-01,6.5,50.4
2020-01-01,6.24,50.1
2020-02-01,5.71,49.2
2020-03-01,5.74,49.6
2020-04-01,5.71,49.0
2020-05-01,4.85,49.7
2020-06-01,4.87,49.2
2020-07-01,4.22,48.6
2020-08-01,4.22,48.9
2020-09-01,3.91,48.3
2020-10-01,4.29,49.2
2020-11-01,3.93,48.6
2020-12-01,4.39,49.1
2021-01-01,4.41,48.2
2021-02-01,4.4,49.4
2021-03-01,3.85,48.5
2021-04-01,4.63,48.6
2021-05-01,5.0,49.9
2021-06-01,5.28,49.9
2021-07-01,5.04,50.8
2021-08-01,5.61,52.3
2021-09-01,5.69,50.7
2021-10-01,5.96,51.0
2021-11-01,6.71,51.6
2021-12-01,6.3,51.8
2022-01-01,6.63,51.4
2022-02-01,6.96,51.3
2022-03-01,6.52,51.7
2022-04-01,6.61,51.3
2022-05-01,6.57,50.2
2022-06-01,6.41,50.4
2022-07-01,5.84,50.2
2022-08-01,6.01,49.2
2022-09-01,6.16,49.7
2022-10-01,5.04,48.8
2022-11-01,5.51,49.6
2022-12-01,5.05,48.9
2023-01-01,4.6,48.7
2023-02-01,5.21,48.2
2023-03-01,4.69,48.4
2023-04-01,4.0,47.3
2023-05-01,4.33,47.9
2023-06-01,4.48,49.0
2023-07-01,4.3,47.7
2023-08-01,4.67,49.7
2023-09-01,4.59,48.5
2023-10-01,4.99,50.3
2023-11-01,5.44,49.6
2023-12-01,5.05,50.9
2024-01-01,5.56,50.8
2024-02-01,5.61,50.1
2024-03-01,6.03,51.9
2024-04-01,5.85,52.2
2024-05-01,6.22,51.4
2024-06-01,6.48,51.3
2024-07-01,6.91,51.4
2024-08-01,7.04,50.8
2024-09-01,6.3,51.9
2024-10-01,6.4,50.7
2024-11-01,6.73,50.7
2024-12-01,5.79,50.0
