month,days,workdays,nonworkdays,holiday_break_days,weekend_days,makeup_workdays,holiday_names,quality_flag
2024-01,31,22,9,1,8,0,元旦,official-calendar
2024-02,29,18,11,8,8,2,春节,official-calendar
2024-03,31,21,10,0,10,0,,official-calendar
2024-04,30,22,8,3,8,2,清明节,official-calendar
2024-05,31,21,10,5,8,1,劳动节,official-calendar
2024-06,30,19,11,1,10,0,端午节,official-calendar
2024-07,31,23,8,0,8,0,,official-calendar
2024-08,31,22,9,0,9,0,,official-calendar
2024-09,30,21,9,3,9,2,中秋节,official-calendar
2024-10,31,19,12,7,8,1,国庆节,official-calendar
2024-11,30,21,9,0,9,0,,official-calendar
2024-12,31,22,9,0,9,0,,official-calendar
2025-01,31,19,12,5,8,1,元旦、春节,official-calendar
2025-02,28,19,9,4,8,1,春节,official-calendar
2025-03,31,21,10,0,10,0,,official-calendar
2025-04,30,22,8,3,8,1,清明节,official-calendar
2025-05,31,19,12,6,9,0,劳动节、端午节,official-calendar
2025-06,30,20,10,2,9,0,端午节,official-calendar
2025-07,31,23,8,0,8,0,,official-calendar
2025-08,31,21,10,0,10,0,,official-calendar
2025-09,30,23,7,0,8,1,,official-calendar
2025-10,31,18,13,8,8,1,国庆节、中秋节,official-calendar
2025-11,30,20,10,0,10,0,,official-calendar
2025-12,31,23,8,0,8,0,,official-calendar
