month,installed_capacity_wan_kw,generation_month_yi_kwh,generation_month_yoy_pct,generation_ytd_yi_kwh,generation_ytd_yoy_pct,consumption_month_yi_kwh,consumption_month_yoy_pct,consumption_ytd_yi_kwh,consumption_ytd_yoy_pct,reported_peak_load_wan_kw,reported_peak_load_yoy_pct,source_url,quality_flag
2024-01,18177.66,589.61,38.87,589.61,38.87,738.18,37.56,738.18,37.56,12589.6,34.99,https://jsb.nea.gov.cn/dtyw/jgdt/202402/t20240223_257097.html,official-published;peak-load-scope-varies
2024-02,18314.09,450.04,-6.31,1039.65,14.89,551.1,-8.0,1289.28,13.53,12589.6,20.88,https://jsb.nea.gov.cn/dtyw/jgdt/202403/t20240319_259234.html,official-published;peak-load-scope-varies
2024-03,18405.18,548.37,10.5,1588.02,13.33,674.94,8.05,1964.22,11.58,12589.6,20.88,https://jsb.nea.gov.cn/dtyw/jgdt/202404/t20240415_260710.html,official-published;peak-load-scope-varies
2024-04,18562.09,510.57,6.18,2098.59,11.51,620.2,7.12,2584.42,10.48,12589.6,20.88,https://jsb.nea.gov.cn/dtyw/jgdt/202405/t20240517_263109.html,official-published;peak-load-scope-varies
2024-05,18734.71,551.07,5.82,2649.65,10.27,650.6,6.52,3235.02,9.66,12589.6,20.88,https://jsb.nea.gov.cn/dtyw/jgdt/202406/t20240617_264655.html,official-published;peak-load-scope-varies
2024-06,18980.36,528.26,-1.26,3177.92,8.17,688.04,5.84,3923.06,8.97,12589.6,11.62,https://jsb.nea.gov.cn/dtyw/jgdt/202407/t20240715_266191.html,official-published;peak-load-scope-varies
2024-07,19180.74,645.06,4.05,3822.98,7.45,859.57,9.78,4782.63,9.11,14310.0,,https://jsb.nea.gov.cn/ztzl/xzxk/zzdt/202408/t20240827_268451.html,official-published;peak-load-scope-varies
2024-08,19336.27,681.64,11.75,4504.61,8.08,910.68,13.83,5693.31,9.84,14706.0,,https://jsb.nea.gov.cn/dtyw/jgdt/202409/t20240914_269559.html,official-published;peak-load-scope-varies
2024-09,19547.52,598.97,17.42,5103.58,9.1,765.29,13.74,6458.61,10.29,13582.7,10.47,https://jsb.nea.gov.cn/dtyw/jgdt/202410/t20241015_270827.html,official-published;peak-load-scope-varies
2024-10,19701.33,506.69,3.53,5610.27,8.57,637.14,3.46,7095.75,9.64,13582.7,10.47,https://jsb.nea.gov.cn/dtyw/jgdt/202411/t20241114_272302.html,official-published;peak-load-scope-varies
2024-11,19956.59,516.47,-0.12,6126.74,7.78,643.74,2.33,7739.49,8.99,13582.7,10.47,https://jsb.nea.gov.cn/dtyw/jgdt/202412/t20241217_274060.html,official-published;peak-load-scope-varies
2024-12,20409.26,577.01,-1.55,6703.75,6.91,747.44,2.1,8486.93,8.35,13582.7,3.47,https://jsb.nea.gov.cn/dtyw/jgdt/202501/t20250120_275540.html,official-published;peak-load-scope-varies
2025-01,20816.74,513.54,-12.9,513.54,-12.9,667.07,-9.63,667.07,-9.63,11631.4,-7.61,https://jsb.nea.gov.cn/dtyw/jgdt/202502/t20250217_276674.html,official-published;peak-load-scope-varies
2025-02,20943.85,496.73,10.38,1010.28,-2.83,621.49,12.77,1288.56,-0.06,11631.4,-7.61,https://jsb.nea.gov.cn/dtyw/jgdt/202503/t20250321_278422.html,official-published;peak-load-scope-varies
2025-03,21196.66,555.66,1.33,1565.94,-1.39,704.06,4.31,1992.62,1.45,11631.4,-7.61,https://jsb.nea.gov.cn/dtyw/jgdt/202504/t20250417_279734.html,official-published;peak-load-scope-varies
2025-04,21912.07,520.79,2.0,2086.72,-0.57,648.19,4.51,2640.8,2.18,11631.4,-7.61,https://jsb.nea.gov.cn/dtyw/jgdt/202505/t20250519_281184.html,official-published;peak-load-scope-varies
2025-05,22662.22,561.17,1.83,2647.89,-0.07,674.99,3.75,3315.79,2.5,11631.4,-7.61,https://jsb.nea.gov.cn/dtyw/jgdt/202506/t20250618_283056.html,official-published;peak-load-scope-varies
2025-06,22816.93,567.13,7.36,3215.02,1.17,737.21,7.15,4053.0,3.31,12200.8,-3.09,https://jsb.nea.gov.cn/dtyw/jgdt/202507/t20250718_284530.html,official-published;peak-load-scope-varies
2025-07,23259.46,746.08,15.66,3961.1,3.61,932.98,8.54,4985.98,4.25,13888.2,-2.25,https://jsb.nea.gov.cn/dtyw/jgdt/202508/t20250819_285911.html,official-published;peak-load-scope-varies
2025-08,23312.42,753.65,10.56,4714.75,4.66,944.26,3.69,5930.24,4.16,14405.5,-6.06,https://jsb.nea.gov.cn/dtyw/jgdt/202509/t20250919_287691.html,official-published;peak-load-scope-varies
2025-09,23657.07,621.88,3.83,5336.63,4.57,806.9,5.44,6737.15,4.31,14405.5,-6.06,https://jsb.nea.gov.cn/dtyw/jgdt/202510/t20251016_288812.html,official-published;peak-load-scope-varies
2025-10,23758.65,584.23,15.3,5920.86,5.54,715.86,12.35,7453.0,5.03,14405.5,6.06,https://jsb.nea.gov.cn/dtyw/jgdt/202511/t20251118_290592.html,official-published;peak-load-scope-varies
2025-11,23924.71,568.48,10.07,6489.33,5.92,686.45,6.63,8139.45,5.17,14405.5,6.06,https://jsb.nea.gov.cn/dtyw/jgdt/202512/t20251218_292547.html,official-published;peak-load-scope-varies
2025-12,24535.31,593.48,2.86,7082.82,5.65,755.96,1.14,8895.41,4.81,14405.5,6.06,https://jsb.nea.gov.cn/dtyw/jgdt/202601/t20260116_294284.html,official-published;peak-load-scope-varies
