observation_id,period,region,indicator_id,value,unit,yoy_pct,scope,source_url,quality_flag
obs_0001,2024-01,江苏省,ind_consumption,738.18,亿千瓦时,37.56,month,https://jsb.nea.gov.cn/dtyw/jgdt/202402/t20240223_257097.html,official-published;peak-load-scope-varies
obs_0002,2024-01,江苏省,ind_generation,589.61,亿千瓦时,38.87,month,https://jsb.nea.gov.cn/dtyw/jgdt/202402/t20240223_257097.html,official-published;peak-load-scope-varies
obs_0003,2024-01,江苏省,ind_capacity,18177.66,万千瓦,,month-end,https://jsb.nea.gov.cn/dtyw/jgdt/202402/t20240223_257097.html,official-published;peak-load-scope-varies
obs_0004,2024-01,江苏省,ind_peak_load,12589.6,万千瓦,34.99,official-reported-scope-varies,https://jsb.nea.gov.cn/dtyw/jgdt/202402/t20240223_257097.html,official-published;peak-load-scope-varies
obs_0005,2024-01,江苏省,ind_mean_temp,3.58,℃,,Nanjing-point-proxy,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
obs_0006,2024-01,江苏省,ind_hot_days,0,天,,Nanjing-point-proxy,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
obs_0007,2024-01,江苏省,ind_cdd18,0,度日,,Nanjing-point-proxy,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
obs_0008,2024-01,江苏省,ind_hdd18,447.0,度日,,Nanjing-point-proxy,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
obs_0009,2024-01,江苏省,ind_workdays,22,天,,month,国务院办公厅节假日通知,official-calendar
obs_0010,2024-01,江苏省,ind_holiday_days,1,天,,month,国务院办公厅节假日通知,official-calendar
obs_0011,2024-02,江苏省,ind_consumption,551.1,亿千瓦时,-8.0,month,https://jsb.nea.gov.cn/dtyw/jgdt/202403/t20240319_259234.html,official-published;peak-load-scope-varies
obs_0012,2024-02,江苏省,ind_generation,450.04,亿千瓦时,-6.31,month,https://jsb.nea.gov.cn/dtyw/jgdt/202403/t20240319_259234.html,official-published;peak-load-scope-varies
obs_0013,2024-02,江苏省,ind_capacity,18314.09,万千瓦,,month-end,https://jsb.nea.gov.cn/dtyw/jgdt/202403/t20240319_259234.html,official-published;peak-load-scope-varies
obs_0014,2024-02,江苏省,ind_peak_load,12589.6,万千瓦,20.88,official-reported-scope-varies,https://jsb.nea.gov.cn/dtyw/jgdt/202403/t20240319_259234.html,official-published;peak-load-scope-varies
obs_0015,2024-02,江苏省,ind_mean_temp,4.34,℃,,Nanjing-point-proxy,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
obs_0016,2024-02,江苏省,ind_hot_days,0,天,,Nanjing-point-proxy,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
obs_0017,2024-02,江苏省,ind_cdd18,0,度日,,Nanjing-point-proxy,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
