relationship_id,source_id,relationship_type,target_id,description,evidence_level,weight
r_project_region,project_js,IN_REGION,region_js,,schema,
r_project_power,project_js,HAS_DOMAIN,domain_power,,schema,
r_project_economy,project_js,HAS_DOMAIN,domain_economy,,schema,
r_project_weather,project_js,HAS_DOMAIN,domain_weather,,schema,
r_project_calendar,project_js,HAS_DOMAIN,domain_calendar,,schema,
r_ind_consumption,ind_consumption,BELONGS_TO,domain_power,,schema,
r_ind_consumption_yoy,ind_consumption_yoy,BELONGS_TO,domain_power,,schema,
r_ind_generation,ind_generation,BELONGS_TO,domain_power,,schema,
r_ind_generation_yoy,ind_generation_yoy,BELONGS_TO,domain_power,,schema,
r_ind_capacity,ind_capacity,BELONGS_TO,domain_power,,schema,
r_ind_peak_load,ind_peak_load,BELONGS_TO,domain_power,,schema,
r_ind_gdp,ind_gdp,BELONGS_TO,domain_economy,,schema,
r_ind_gdp_yoy,ind_gdp_yoy,BELONGS_TO,domain_economy,,schema,
r_ind_secondary_gdp,ind_secondary_gdp,BELONGS_TO,domain_economy,,schema,
r_ind_tertiary_gdp,ind_tertiary_gdp,BELONGS_TO,domain_economy,,schema,
r_ind_mean_temp,ind_mean_temp,BELONGS_TO,domain_weather,,schema,
r_ind_hot_days,ind_hot_days,BELONGS_TO,domain_weather,,schema,
r_ind_cdd18,ind_cdd18,BELONGS_TO,domain_weather,,schema,
r_ind_hdd18,ind_hdd18,BELONGS_TO,domain_weather,,schema,
r_ind_workdays,ind_workdays,BELONGS_TO,domain_calendar,,schema,
r_ind_holiday_days,ind_holiday_days,BELONGS_TO,domain_calendar,,schema,
r_prior_01,concept_economic_activity,MAY_AFFECT,ind_consumption,经济活动通常影响用电需求,mechanism-prior,
r_prior_02,concept_industrial_output,MAY_AFFECT,ind_consumption,工业生产是江苏用电的重要候选驱动,mechanism-prior,
r_prior_03,concept_service_demand,MAY_AFFECT,ind_consumption,商业和居民需求影响用电,mechanism-prior,
r_prior_04,concept_high_temp,MAY_AFFECT,ind_consumption,高温增加制冷负荷,mechanism-prior,
r_prior_05,concept_low_temp,MAY_AFFECT,ind_consumption,低温可能增加采暖负荷,mechanism-prior,
r_prior_06,concept_holiday_shift,MAY_AFFECT,ind_consumption_yoy,春节错位显著影响1—2月同比,mechanism-prior,
r_prior_07,concept_energy_efficiency,MAY_AFFECT,ind_consumption_yoy,能效会改变电耗与产出的关系,mechanism-prior,
r_prior_08,concept_industry_structure,MAY_AFFECT,ind_consumption_yoy,产业结构会改变用电弹性,mechanism-prior,
r_prior_09,concept_digital_economy,MAY_AFFECT,ind_consumption,数据中心等新负荷可能增加用电,mechanism-prior,
r_prior_10,concept_distributed_energy,MAY_AFFECT,ind_generation,新能源装机影响供给结构,mechanism-prior,
r_prior_11,concept_price_policy,MAY_AFFECT,ind_consumption,价格与政策可能影响需求,mechanism-prior,
r_prior_12,concept_stat_scope,MAY_AFFECT,ind_peak_load,官方月报最高负荷表述存在口径差异,mechanism-prior,
r_month_region_2024-01,month_2024-01,IN_REGION,region_js,,schema,
r_obs_ind_0001,obs_0001,MEASURES,ind_consumption,,observed,
r_obs_time_0001,obs_0001,AT_TIME,month_2024-01,,observed,
r_obs_source_obs_0001,obs_0001,FROM_SOURCE,source_001,,observed,
r_obs_ind_0002,obs_0002,MEASURES,ind_generation,,observed,
r_obs_time_0002,obs_0002,AT_TIME,month_2024-01,,observed,
r_obs_source_obs_0002,obs_0002,FROM_SOURCE,source_001,,observed,
r_obs_ind_0003,obs_0003,MEASURES,ind_capacity,,observed,
r_obs_time_0003,obs_0003,AT_TIME,month_2024-01,,observed,
r_obs_source_obs_0003,obs_0003,FROM_SOURCE,source_001,,observed,
r_obs_ind_0004,obs_0004,MEASURES,ind_peak_load,,observed,
r_obs_time_0004,obs_0004,AT_TIME,month_2024-01,,observed,
r_obs_source_obs_0004,obs_0004,FROM_SOURCE,source_001,,observed,
r_obs_ind_0005,obs_0005,MEASURES,ind_mean_temp,,observed,
r_obs_time_0005,obs_0005,AT_TIME,month_2024-01,,observed,
r_obs_source_obs_0005,obs_0005,FROM_SOURCE,source_002,,observed,
r_obs_ind_0006,obs_0006,MEASURES,ind_hot_days,,observed,
r_obs_time_0006,obs_0006,AT_TIME,month_2024-01,,observed,
r_obs_source_obs_0006,obs_0006,FROM_SOURCE,source_002,,observed,
r_obs_ind_0007,obs_0007,MEASURES,ind_cdd18,,observed,
r_obs_time_0007,obs_0007,AT_TIME,month_2024-01,,observed,
r_obs_source_obs_0007,obs_0007,FROM_SOURCE,source_002,,observed,
r_obs_ind_0008,obs_0008,MEASURES,ind_hdd18,,observed,
r_obs_time_0008,obs_0008,AT_TIME,month_2024-01,,observed,
r_obs_source_obs_0008,obs_0008,FROM_SOURCE,source_002,,observed,
r_obs_ind_0009,obs_0009,MEASURES,ind_workdays,,observed,
r_obs_time_0009,obs_0009,AT_TIME,month_2024-01,,observed,
r_obs_ind_0010,obs_0010,MEASURES,ind_holiday_days,,observed,
r_obs_time_0010,obs_0010,AT_TIME,month_2024-01,,observed,
