month,indicator,value_raw,assumed_unit,assumed_value_yi_kwh,quality_flag
2021-01,全社会用电量,4655998,万千瓦时（根据数量级推断）,465.5998,unit-inferred
2021-02,全社会用电量,2561031,万千瓦时（根据数量级推断）,256.1031,unit-inferred
2021-03,全社会用电量,4474071,万千瓦时（根据数量级推断）,447.4071,unit-inferred
2021-04,全社会用电量,4336378,万千瓦时（根据数量级推断）,433.6378,unit-inferred
2021-05,全社会用电量,4525544,万千瓦时（根据数量级推断）,452.5544,unit-inferred
2021-06,全社会用电量,4780096,万千瓦时（根据数量级推断）,478.0096,unit-inferred
2021-07,全社会用电量,5627703,万千瓦时（根据数量级推断）,562.7703,unit-inferred
2021-08,全社会用电量,5618890,万千瓦时（根据数量级推断）,561.889,unit-inferred
2021-09,全社会用电量,5122877,万千瓦时（根据数量级推断）,512.2877,unit-inferred
2021-10,全社会用电量,4301101,万千瓦时（根据数量级推断）,430.1101,unit-inferred
2021-11,全社会用电量,4372489,万千瓦时（根据数量级推断）,437.2489,unit-inferred
2021-12,全社会用电量,4764931,万千瓦时（根据数量级推断）,476.4931,unit-inferred
2022-01,全社会用电量,4313380,万千瓦时（根据数量级推断）,431.338,unit-inferred
2022-02,全社会用电量,3757401,万千瓦时（根据数量级推断）,375.7401,unit-inferred
2022-03,全社会用电量,4748464,万千瓦时（根据数量级推断）,474.8464,unit-inferred
2022-04,全社会用电量,4305708,万千瓦时（根据数量级推断）,430.5708,unit-inferred
2022-05,全社会用电量,4384435,万千瓦时（根据数量级推断）,438.4435,unit-inferred
2022-06,全社会用电量,4852202,万千瓦时（根据数量级推断）,485.2202,unit-inferred
2022-07,全社会用电量,6249475,万千瓦时（根据数量级推断）,624.9475,unit-inferred
2022-08,全社会用电量,6275656,万千瓦时（根据数量级推断）,627.5656,unit-inferred
2022-09,全社会用电量,4833107,万千瓦时（根据数量级推断）,483.3107,unit-inferred
2022-10,全社会用电量,4642150,万千瓦时（根据数量级推断）,464.215,unit-inferred
2022-11,全社会用电量,4494513,万千瓦时（根据数量级推断）,449.4513,unit-inferred
2022-12,全社会用电量,5136992,万千瓦时（根据数量级推断）,513.6992,unit-inferred
2023-01,全社会用电量,3411477,万千瓦时（根据数量级推断）,341.1477,unit-inferred
2023-02,全社会用电量,4422964,万千瓦时（根据数量级推断）,442.2964,unit-inferred
2023-03,全社会用电量,5064951,万千瓦时（根据数量级推断）,506.4951,unit-inferred
2023-04,全社会用电量,4674495,万千瓦时（根据数量级推断）,467.4495,unit-inferred
2023-05,全社会用电量,4882146,万千瓦时（根据数量级推断）,488.2146,unit-inferred
2023-06,全社会用电量,5325154,万千瓦时（根据数量级推断）,532.5154,unit-inferred
2023-07,全社会用电量,6554505,万千瓦时（根据数量级推断）,655.4505,unit-inferred
2023-08,全社会用电量,6357354,万千瓦时（根据数量级推断）,635.7354,unit-inferred
2023-09,全社会用电量,5577140,万千瓦时（根据数量级推断）,557.714,unit-inferred
2023-10,全社会用电量,4967970,万千瓦时（根据数量级推断）,496.797,unit-inferred
2023-11,全社会用电量,4970234,万千瓦时（根据数量级推断）,497.0234,unit-inferred
2023-12,全社会用电量,5711593,万千瓦时（根据数量级推断）,571.1593,unit-inferred
2024-01,全社会用电量,5516544.1834,万千瓦时（根据数量级推断）,551.65441834,unit-inferred
2024-02,全社会用电量,3547761.3499,万千瓦时（根据数量级推断）,354.77613499,unit-inferred
2024-03,全社会用电量,5404191.6744,万千瓦时（根据数量级推断）,540.41916744,unit-inferred
2024-04,全社会用电量,5086829.5435,万千瓦时（根据数量级推断）,508.68295435,unit-inferred
2024-05,全社会用电量,5248684.8018,万千瓦时（根据数量级推断）,524.86848018,unit-inferred
2024-06,全社会用电量,5389814.3837,万千瓦时（根据数量级推断）,538.98143837,unit-inferred
2024-07,全社会用电量,7186396,万千瓦时（根据数量级推断）,718.6396,unit-inferred
2024-08,全社会用电量,7395127,万千瓦时（根据数量级推断）,739.5127,unit-inferred
2024-09,全社会用电量,6374285,万千瓦时（根据数量级推断）,637.4285,unit-inferred
2024-10,全社会用电量,5328752,万千瓦时（根据数量级推断）,532.8752,unit-inferred
2024-11,全社会用电量,5269564,万千瓦时（根据数量级推断）,526.9564,unit-inferred
2024-12,全社会用电量,6060565,万千瓦时（根据数量级推断）,606.0565,unit-inferred
2025-01,全社会用电量,4858246,万千瓦时（根据数量级推断）,485.8246,unit-inferred
2025-02,全社会用电量,4603528,万千瓦时（根据数量级推断）,460.3528,unit-inferred
2025-03,全社会用电量,5809780,万千瓦时（根据数量级推断）,580.978,unit-inferred
