period,year,quarter,indicator_id,indicator_name,value_yi_yuan,yoy_pct,source_file
1997-Q1,1997,1,indicator-gdp-primary,第一产业增加值,950,12,浙江省第一产业季度.xlsx
1997-Q1,1997,1,indicator-gdp-secondary,第二产业增加值,93,4.2,浙江省第二产业季度.xlsx
1997-Q1,1997,1,indicator-gdp-tertiary,第三产业增加值,513,13,浙江省第三产业季度.xlsx
1997-Q2,1997,2,indicator-gdp-primary,第一产业增加值,1950,11,浙江省第一产业季度.xlsx
1997-Q2,1997,2,indicator-gdp-secondary,第二产业增加值,230,7.3,浙江省第二产业季度.xlsx
1997-Q2,1997,2,indicator-gdp-tertiary,第三产业增加值,1080,11.8,浙江省第三产业季度.xlsx
1997-Q3,1997,3,indicator-gdp-primary,第一产业增加值,365,4,浙江省第一产业季度.xlsx
1997-Q3,1997,3,indicator-gdp-secondary,第二产业增加值,1665,12.1,浙江省第二产业季度.xlsx
1997-Q3,1997,3,indicator-gdp-tertiary,第三产业增加值,974.08,10.6,浙江省第三产业季度.xlsx
1997-Q4,1997,4,indicator-gdp-primary,第一产业增加值,635,4,浙江省第一产业季度.xlsx
1997-Q4,1997,4,indicator-gdp-secondary,第二产业增加值,2460,12.6,浙江省第二产业季度.xlsx
1997-Q4,1997,4,indicator-gdp-tertiary,第三产业增加值,1505,10.9,浙江省第三产业季度.xlsx
1998-Q1,1998,1,indicator-gdp-primary,第一产业增加值,90,2.4,浙江省第一产业季度.xlsx
1998-Q1,1998,1,indicator-gdp-secondary,第二产业增加值,560,10.8,浙江省第二产业季度.xlsx
1998-Q1,1998,1,indicator-gdp-tertiary,第三产业增加值,380,9.6,浙江省第三产业季度.xlsx
1998-Q2,1998,2,indicator-gdp-primary,第一产业增加值,200,-2,浙江省第一产业季度.xlsx
1998-Q2,1998,2,indicator-gdp-secondary,第二产业增加值,1186,10.9,浙江省第二产业季度.xlsx
1998-Q2,1998,2,indicator-gdp-tertiary,第三产业增加值,704,10.2,浙江省第三产业季度.xlsx
1998-Q3,1998,3,indicator-gdp-primary,第一产业增加值,340,-1.6,浙江省第一产业季度.xlsx
1998-Q3,1998,3,indicator-gdp-secondary,第二产业增加值,1830.61,11.1,浙江省第二产业季度.xlsx
1998-Q3,1998,3,indicator-gdp-tertiary,第三产业增加值,1089.18,9.9,浙江省第三产业季度.xlsx
1998-Q4,1998,4,indicator-gdp-primary,第一产业增加值,631.31,3.2,浙江省第一产业季度.xlsx
1998-Q4,1998,4,indicator-gdp-secondary,第二产业增加值,2709.08,10.8,浙江省第二产业季度.xlsx
1998-Q4,1998,4,indicator-gdp-tertiary,第三产业增加值,1647.11,11.5,浙江省第三产业季度.xlsx
1999-Q1,1999,1,indicator-gdp-primary,第一产业增加值,97,2.8,浙江省第一产业季度.xlsx
