id,label,name,category,indicator_id,region_id,period_id,value,unit,yoy_pct,frequency,source_id,quality_flag,notes
obs-power-2021-01,Observation,2021-01全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-01,4655998,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-02,Observation,2021-02全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-02,2561031,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-03,Observation,2021-03全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-03,4474071,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-04,Observation,2021-04全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-04,4336378,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-05,Observation,2021-05全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-05,4525544,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-06,Observation,2021-06全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-06,4780096,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-07,Observation,2021-07全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-07,5627703,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-08,Observation,2021-08全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-08,5618890,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-09,Observation,2021-09全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-09,5122877,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-10,Observation,2021-10全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-10,4301101,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-11,Observation,2021-11全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-11,4372489,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2021-12,Observation,2021-12全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2021-12,4764931,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-01,Observation,2022-01全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-01,4313380,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-02,Observation,2022-02全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-02,3757401,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-03,Observation,2022-03全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-03,4748464,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-04,Observation,2022-04全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-04,4305708,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-05,Observation,2022-05全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-05,4384435,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-06,Observation,2022-06全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-06,4852202,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-07,Observation,2022-07全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-07,6249475,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-08,Observation,2022-08全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-08,6275656,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-09,Observation,2022-09全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-09,4833107,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-10,Observation,2022-10全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-10,4642150,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-11,Observation,2022-11全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-11,4494513,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2022-12,Observation,2022-12全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2022-12,5136992,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-01,Observation,2023-01全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-01,3411477,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-02,Observation,2023-02全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-02,4422964,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-03,Observation,2023-03全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-03,5064951,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-04,Observation,2023-04全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-04,4674495,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-05,Observation,2023-05全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-05,4882146,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-06,Observation,2023-06全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-06,5325154,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-07,Observation,2023-07全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-07,6554505,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-08,Observation,2023-08全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-08,6357354,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-09,Observation,2023-09全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-09,5577140,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-10,Observation,2023-10全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-10,4967970,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-11,Observation,2023-11全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-11,4970234,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2023-12,Observation,2023-12全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2023-12,5711593,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-01,Observation,2024-01全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-01,5516544.1834,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-02,Observation,2024-02全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-02,3547761.3499,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-03,Observation,2024-03全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-03,5404191.6744,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-04,Observation,2024-04全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-04,5086829.5435,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-05,Observation,2024-05全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-05,5248684.8018,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-06,Observation,2024-06全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-06,5389814.3837,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-07,Observation,2024-07全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-07,7186396,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-08,Observation,2024-08全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-08,7395127,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-09,Observation,2024-09全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-09,6374285,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-10,Observation,2024-10全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-10,5328752,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-11,Observation,2024-11全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-11,5269564,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2024-12,Observation,2024-12全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2024-12,6060565,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2025-01,Observation,2025-01全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2025-01,4858246,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2025-02,Observation,2025-02全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2025-02,4603528,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-power-2025-03,Observation,2025-03全社会用电量,ElectricityObservation,indicator-power-total,region-zhejiang,period-2025-03,5809780,源表未标注（推断万千瓦时）,,month,source-electricity-xlsx,unit-inferred,原始值未改动
obs-gdp-primary-1997-Q1,Observation,1997-Q1第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1997-Q1,950,亿元,12,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1997-Q1,Observation,1997-Q1第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1997-Q1,93,亿元,4.2,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1997-Q1,Observation,1997-Q1第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1997-Q1,513,亿元,13,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1997-Q2,Observation,1997-Q2第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1997-Q2,1950,亿元,11,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1997-Q2,Observation,1997-Q2第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1997-Q2,230,亿元,7.3,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1997-Q2,Observation,1997-Q2第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1997-Q2,1080,亿元,11.8,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1997-Q3,Observation,1997-Q3第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1997-Q3,365,亿元,4,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1997-Q3,Observation,1997-Q3第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1997-Q3,1665,亿元,12.1,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1997-Q3,Observation,1997-Q3第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1997-Q3,974.08,亿元,10.6,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1997-Q4,Observation,1997-Q4第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1997-Q4,635,亿元,4,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1997-Q4,Observation,1997-Q4第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1997-Q4,2460,亿元,12.6,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1997-Q4,Observation,1997-Q4第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1997-Q4,1505,亿元,10.9,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1998-Q1,Observation,1998-Q1第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1998-Q1,90,亿元,2.4,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1998-Q1,Observation,1998-Q1第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1998-Q1,560,亿元,10.8,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1998-Q1,Observation,1998-Q1第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1998-Q1,380,亿元,9.6,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1998-Q2,Observation,1998-Q2第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1998-Q2,200,亿元,-2,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1998-Q2,Observation,1998-Q2第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1998-Q2,1186,亿元,10.9,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1998-Q2,Observation,1998-Q2第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1998-Q2,704,亿元,10.2,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1998-Q3,Observation,1998-Q3第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1998-Q3,340,亿元,-1.6,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1998-Q3,Observation,1998-Q3第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1998-Q3,1830.61,亿元,11.1,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1998-Q3,Observation,1998-Q3第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1998-Q3,1089.18,亿元,9.9,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1998-Q4,Observation,1998-Q4第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1998-Q4,631.31,亿元,3.2,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1998-Q4,Observation,1998-Q4第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1998-Q4,2709.08,亿元,10.8,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1998-Q4,Observation,1998-Q4第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1998-Q4,1647.11,亿元,11.5,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1999-Q1,Observation,1999-Q1第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1999-Q1,97,亿元,2.8,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1999-Q1,Observation,1999-Q1第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1999-Q1,611.42,亿元,12.3,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1999-Q1,Observation,1999-Q1第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1999-Q1,413.05,亿元,10.1,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1999-Q2,Observation,1999-Q2第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1999-Q2,221.8,亿元,5.5,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1999-Q2,Observation,1999-Q2第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1999-Q2,1286.54,亿元,11.3,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1999-Q2,Observation,1999-Q2第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1999-Q2,756.08,亿元,8.9,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1999-Q3,Observation,1999-Q3第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1999-Q3,354.23,亿元,4.7,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1999-Q3,Observation,1999-Q3第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1999-Q3,1992.47,亿元,11.5,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1999-Q3,Observation,1999-Q3第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1999-Q3,1182.67,亿元,8.8,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-1999-Q4,Observation,1999-Q4第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-1999-Q4,636,亿元,4.3,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-1999-Q4,Observation,1999-Q4第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-1999-Q4,2906,亿元,11.3,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-1999-Q4,Observation,1999-Q4第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-1999-Q4,1808,亿元,9.4,quarter,source-tertiary-xlsx,provided,季度累计值
obs-gdp-primary-2000-Q1,Observation,2000-Q1第一产业增加值,EconomicObservation,indicator-gdp-primary,region-zhejiang,period-2000-Q1,107.22,亿元,4.9,quarter,source-primary-xlsx,provided,季度累计值
obs-gdp-secondary-2000-Q1,Observation,2000-Q1第二产业增加值,EconomicObservation,indicator-gdp-secondary,region-zhejiang,period-2000-Q1,664.56,亿元,11.8,quarter,source-secondary-xlsx,provided,季度累计值
obs-gdp-tertiary-2000-Q1,Observation,2000-Q1第三产业增加值,EconomicObservation,indicator-gdp-tertiary,region-zhejiang,period-2000-Q1,498.34,亿元,9.8,quarter,source-tertiary-xlsx,provided,季度累计值
