id,source_id,target_id,type,description,direction,lag,confidence,provenance
rel-000001,indicator-power-total,domain-electricity,BELONGS_TO,,,,,
rel-000002,indicator-gdp-primary,domain-economy,BELONGS_TO,,,,,
rel-000003,indicator-gdp-secondary,domain-economy,BELONGS_TO,,,,,
rel-000004,indicator-gdp-tertiary,domain-economy,BELONGS_TO,,,,,
rel-000005,indicator-temp-mean,domain-weather,BELONGS_TO,,,,,
rel-000006,indicator-temp-max-mean,domain-weather,BELONGS_TO,,,,,
rel-000007,indicator-temp-min-mean,domain-weather,BELONGS_TO,,,,,
rel-000008,indicator-temp-abs-max,domain-weather,BELONGS_TO,,,,,
rel-000009,indicator-temp-abs-min,domain-weather,BELONGS_TO,,,,,
rel-000010,feature-cdd18,domain-weather,BELONGS_TO,,,,,
rel-000011,feature-hdd18,domain-weather,BELONGS_TO,,,,,
rel-000012,feature-hot-days,domain-weather,BELONGS_TO,,,,,
rel-000013,feature-cold-days,domain-weather,BELONGS_TO,,,,,
rel-000014,indicator-precipitation-planned,domain-weather,BELONGS_TO,,,,,
rel-000015,indicator-wind-planned,domain-weather,BELONGS_TO,,,,,
rel-000016,feature-workdays,domain-calendar,BELONGS_TO,,,,,
rel-000017,feature-nonworkdays,domain-calendar,BELONGS_TO,,,,,
rel-000018,feature-holiday-days,domain-calendar,BELONGS_TO,,,,,
rel-000019,feature-makeup-workdays,domain-calendar,BELONGS_TO,,,,,
rel-000020,indicator-temp-mean,feature-cdd18,DERIVES_FEATURE,18°C基准的制冷度日,nonlinear,same-day,defined,feature-engineering
rel-000021,indicator-temp-mean,feature-hdd18,DERIVES_FEATURE,18°C基准的采暖度日,nonlinear,same-day,defined,feature-engineering
rel-000022,feature-cdd18,indicator-power-total,AFFECTS,制冷需求通常增加用电,positive,same-month,domain-prior,project-ontology
rel-000023,feature-hdd18,indicator-power-total,AFFECTS,采暖需求可能增加用电,positive,same-month,domain-prior,project-ontology
rel-000024,feature-holiday-days,indicator-power-total,DISTURBS,节假日改变工业、商业和居民用电结构,mixed,same-month,domain-prior,project-ontology
rel-000025,indicator-power-total,indicator-gdp-secondary,PROXIES_FOR,用电量可作为经济活动高频代理，但不等于因果关系,usually-positive,0-1 quarter,to-be-estimated,project-ontology
rel-000026,indicator-power-total,indicator-gdp-tertiary,PROXIES_FOR,用电量可辅助感知服务业活动,usually-positive,0-1 quarter,to-be-estimated,project-ontology
