month,quarter,electricity_raw,electricity_assumed_yi_kwh,temperature_mean_c,daily_max_temperature_mean_c,daily_min_temperature_mean_c,cooling_degree_days_18,heating_degree_days_18,hot_days_ge_35c,cold_days_le_0c,workdays,nonworkdays,holiday_break_days,makeup_workdays,primary_industry_cumulative_yi_yuan,secondary_industry_cumulative_yi_yuan,tertiary_industry_cumulative_yi_yuan
2021-01,2021-Q1,4655998,465.5998,6.452,11.552,2.058,0,358,0,12,20,11,3,0,,,
2021-02,2021-Q1,2561031,256.1031,11.539,16.186,7.571,0,180.9,0,0,17,11,7,2,,,
2021-03,2021-Q1,4474071,447.4071,13.381,17.961,9.339,7.5,150.7,0,0,23,8,0,0,337.17,6381.82,9627.77
2021-04,2021-Q2,4336378,433.6378,16.92,21.423,12.877,18.7,51.1,0,0,22,8,3,1,,,
2021-05,2021-Q2,4525544,452.5544,22.603,27.168,18.603,142.8,0.1,0,0,19,12,5,1,,,
2021-06,2021-Q2,4780096,478.0096,24.83,28.833,21.463,204.9,0,0,0,21,9,3,0,934.95,14177.49,19444
2021-07,2021-Q3,5627703,562.7703,28.171,31.981,25.029,315.3,0,3,0,22,9,0,0,,,
2021-08,2021-Q3,5618890,561.889,27.258,31.097,24.268,287,0,0,0,22,9,0,0,,,
2021-09,2021-Q3,5122877,512.2877,26.317,30.697,22.743,249.5,0,0,0,22,8,3,2,1407.2,22008.51,29436.92
2021-10,2021-Q4,4301101,430.1101,20.045,24.058,16.729,99.3,35.9,0,0,17,14,7,1,,,
2021-11,2021-Q4,4372489,437.2489,13.1,17.193,9.263,2,149,0,0,22,8,0,0,,,
2021-12,2021-Q4,4764931,476.4931,8.203,13.019,4.029,0,303.7,0,5,23,8,0,0,2209.09,31188.57,40118.1
2022-01,2022-Q1,4313380,431.338,6.629,9.965,3.555,0,352.5,0,4,21,10,4,2,,,
2022-02,2022-Q1,3757401,375.7401,5.036,8.111,2.279,0,363,0,4,16,12,6,0,,,
2022-03,2022-Q1,4748464,474.8464,14.003,19.129,9.413,10,133.9,0,0,23,8,0,0,336.25,7408.46,10141.68
2022-04,2022-Q2,4305708,430.5708,17.213,22.17,12.437,38.8,62.4,0,0,21,9,4,2,,,
2022-05,2022-Q2,4384435,438.4435,19.448,23.581,15.677,57.3,12.4,0,0,20,11,4,1,,,
2022-06,2022-Q2,4852202,485.2202,25.103,28.9,21.813,213.1,0,0,0,21,9,3,0,954.96,15521.77,19745.53
2022-07,2022-Q3,6249475,624.9475,31.603,36.797,27.068,421.7,0,22,0,21,10,0,0,,,
2022-08,2022-Q3,6275656,627.5656,32.358,38.032,27.561,445.1,0,27,0,23,8,0,0,,,
2022-09,2022-Q3,4833107,483.3107,24.243,28.583,20.713,187.3,0,0,0,21,9,3,0,1462.7,23965.1,30322.4
2022-10,2022-Q4,4642150,464.215,18.674,22.942,14.8,53.3,32.4,3,0,18,13,7,2,,,
2022-11,2022-Q4,4494513,449.4513,16.527,20.607,13.107,15.5,59.7,0,0,22,8,0,0,,,
2022-12,2022-Q4,5136992,513.6992,5.232,8.719,2.171,0,395.8,0,10,22,9,1,0,2324.77,33205.17,42185.42
2023-01,2023-Q1,3411477,341.1477,6.961,11.832,2.632,0,342.2,0,11,18,13,9,2,,,
2023-02,2023-Q1,4422964,442.2964,7.704,12.179,4.014,0,288.3,0,3,20,8,0,0,,,
2023-03,2023-Q1,5064951,506.4951,13.368,18.813,8.629,3.5,147.1,0,0,23,8,0,0,365.69,7494.47,11064.55
2023-04,2023-Q2,4674495,467.4495,17.357,22.317,12.727,28,47.3,0,0,20,10,3,1,,,
2023-05,2023-Q2,4882146,488.2146,22.135,27.074,17.529,133.3,5.1,1,0,21,10,3,1,,,
2023-06,2023-Q2,5325154,532.5154,26.007,29.973,22.633,240.2,0,0,0,21,9,3,1,1049.84,15800.09,21867.06
2023-07,2023-Q3,6554505,655.4505,29.313,33.41,25.99,350.7,0,9,0,21,10,0,0,,,
2023-08,2023-Q3,6357354,635.7354,27.49,31.442,24.539,294.2,0,0,0,23,8,0,0,,,
2023-09,2023-Q3,5577140,557.714,26.24,30.357,23.01,247.2,0,0,0,20,10,2,0,1580.12,24433.73,33167.99
2023-10,2023-Q4,4967970,496.797,20.29,24.661,16.79,74.9,3.9,0,0,19,12,6,2,,,
2023-11,2023-Q4,4970234,497.0234,14.453,19.763,9.777,20.2,126.6,0,0,22,8,0,0,,,
2023-12,2023-Q4,5711593,571.1593,7.739,12.997,3.339,0,318.1,0,9,21,10,0,0,2331.97,33952.67,46268.57
2024-01,2024-Q1,5516544.1834,551.65441834,7.342,12.726,2.635,0,330.4,0,5,22,9,1,0,,,
2024-02,2024-Q1,3547761.3499,354.77613499,7.183,11.241,3.597,1.2,314.9,0,2,18,11,8,2,,,
2024-03,2024-Q1,5404191.6744,540.41916744,13.219,18.481,8.171,15.2,163.4,0,1,21,10,0,0,347,7908,11882
2024-04,2024-Q2,5086829.5435,508.68295435,18.867,23.16,15.25,53.4,27.4,0,0,22,8,3,2,,,
2024-05,2024-Q2,5248684.8018,524.86848018,20.777,25.758,16.161,93,6.9,0,0,21,10,5,1,,,
2024-06,2024-Q2,5389814.3837,538.98143837,23.99,27.173,21.107,179.7,0,0,0,19,11,3,0,1010,16546,23364
2024-07,2024-Q3,7186396,718.6396,30.668,35.316,26.545,392.7,0,20,0,23,8,0,0,,,
2024-08,2024-Q3,7395127,739.5127,31.613,37.045,27.197,422,0,25,0,22,9,0,0,,,
2024-09,2024-Q3,6374285,637.4285,27.627,31.7,24.363,288.8,0,11,0,21,9,3,2,1554,25670,35394
2024-10,2024-Q4,5328752,532.8752,19.232,22.419,16.368,51.6,13.4,0,0,19,12,7,1,,,
2024-11,2024-Q4,5269564,526.9564,14.827,18.307,11.647,8.5,103.7,0,0,21,9,0,0,,,
2024-12,2024-Q4,6060565,606.0565,7.313,11.419,3.671,0,331.3,0,4,22,9,0,0,2586,34783,52761
2025-01,2025-Q1,4858246,485.8246,7.265,13.226,2.203,0,332.8,0,8,19,12,5,1,,,
2025-02,2025-Q1,4603528,460.3528,6.868,11.221,2.95,0,311.7,0,4,19,9,4,1,,,
2025-03,2025-Q1,5809780,580.978,12.606,17.735,7.752,24.5,191.7,0,0,21,10,0,0,398,8249,13653
2025-04,2025-Q2,,,19.4,25.4,13.817,64.1,22.1,0,0,22,8,3,1,,,
2025-05,2025-Q2,,,22.306,26.971,17.932,133.5,0,0,0,19,12,6,0,,,
2025-06,2025-Q2,,,26.043,30.163,22.517,241.3,0,0,0,20,10,2,0,1132,16952,26921
2025-07,2025-Q3,,,27.881,31.455,25.097,306.3,0,0,0,23,8,0,0,,,
2025-08,2025-Q3,,,30.532,35.868,26.119,388.5,0,22,0,21,10,0,0,,,
2025-09,2025-Q3,,,29.093,34.313,25.003,332.8,0,14,0,23,7,0,1,1735,26086,40674
2025-10,2025-Q4,,,23.619,28.026,20.142,187.6,13.4,8,0,18,13,8,1,,,
2025-11,2025-Q4,,,13.583,17.913,9.973,3.3,135.8,0,0,20,10,0,0,,,
2025-12,2025-Q4,,,10.145,15.723,5.158,0,243.5,0,3,23,8,0,0,2657,35682,56206
