month,temperature_mean_c,daily_max_temperature_mean_c,daily_min_temperature_mean_c,temperature_absolute_max_c,temperature_absolute_min_c,cooling_degree_days_18_c_day,heating_degree_days_18_c_day,hot_days_ge_35c,cold_days_le_0c,quality_flag
2021-01,6.452,11.552,2.058,22.4,-5.7,0,358,0,12,complete
2021-02,11.539,16.186,7.571,23.6,2.5,0,180.9,0,0,complete
2021-03,13.381,17.961,9.339,27.3,3.5,7.5,150.7,0,0,complete
2021-04,16.92,21.423,12.877,29.8,6.1,18.7,51.1,0,0,complete
2021-05,22.603,27.168,18.603,34.5,12.5,142.8,0.1,0,0,complete
2021-06,24.83,28.833,21.463,32.8,15.3,204.9,0,0,0,complete
2021-07,28.171,31.981,25.029,35.3,23.6,315.3,0,3,0,complete
2021-08,27.258,31.097,24.268,33.4,22,287,0,0,0,complete
2021-09,26.317,30.697,22.743,34.2,19.2,249.5,0,0,0,complete
2021-10,20.045,24.058,16.729,33.5,9.9,99.3,35.9,0,0,complete
2021-11,13.1,17.193,9.263,23.1,2.5,2,149,0,0,complete
2021-12,8.203,13.019,4.029,20.1,-2.4,0,303.7,0,5,complete
2022-01,6.629,9.965,3.555,17,-2.1,0,352.5,0,4,complete
2022-02,5.036,8.111,2.279,22.6,-1.3,0,363,0,4,complete
2022-03,14.003,19.129,9.413,28,2.7,10,133.9,0,0,complete
2022-04,17.213,22.17,12.437,30.6,4.3,38.8,62.4,0,0,complete
2022-05,19.448,23.581,15.677,28.7,11.2,57.3,12.4,0,0,complete
2022-06,25.103,28.9,21.813,34,17.9,213.1,0,0,0,complete
2022-07,31.603,36.797,27.068,40.4,23,421.7,0,22,0,complete
2022-08,32.358,38.032,27.561,41.2,23.6,445.1,0,27,0,complete
2022-09,24.243,28.583,20.713,34.6,16.1,187.3,0,0,0,complete
2022-10,18.674,22.942,14.8,37.2,8.6,53.3,32.4,3,0,complete
2022-11,16.527,20.607,13.107,30.6,1.2,15.5,59.7,0,0,complete
2022-12,5.232,8.719,2.171,14,-4,0,395.8,0,10,complete
2023-01,6.961,11.832,2.632,22.3,-5.6,0,342.2,0,11,complete
2023-02,7.704,12.179,4.014,22,-1.9,0,288.3,0,3,complete
2023-03,13.368,18.813,8.629,27.3,3.7,3.5,147.1,0,0,complete
2023-04,17.357,22.317,12.727,32.2,6.5,28,47.3,0,0,complete
2023-05,22.135,27.074,17.529,36.7,9.5,133.3,5.1,1,0,complete
2023-06,26.007,29.973,22.633,33.8,18.9,240.2,0,0,0,complete
2023-07,29.313,33.41,25.99,37.8,24.6,350.7,0,9,0,complete
2023-08,27.49,31.442,24.539,34.5,20.1,294.2,0,0,0,complete
2023-09,26.24,30.357,23.01,34,21.4,247.2,0,0,0,complete
2023-10,20.29,24.661,16.79,30.3,12.1,74.9,3.9,0,0,complete
2023-11,14.453,19.763,9.777,30.6,4.5,20.2,126.6,0,0,complete
2023-12,7.739,12.997,3.339,25.3,-5.2,0,318.1,0,9,complete
2024-01,7.342,12.726,2.635,21.9,-5,0,330.4,0,5,complete
2024-02,7.183,11.241,3.597,27,-0.2,1.2,314.9,0,2,complete
2024-03,13.219,18.481,8.171,29.2,-0.4,15.2,163.4,0,1,complete
2024-04,18.867,23.16,15.25,30.6,9.8,53.4,27.4,0,0,complete
2024-05,20.777,25.758,16.161,32.4,11.8,93,6.9,0,0,complete
2024-06,23.99,27.173,21.107,34.1,15.9,179.7,0,0,0,complete
2024-07,30.668,35.316,26.545,38.6,24.7,392.7,0,20,0,complete
2024-08,31.613,37.045,27.197,40.6,24.8,422,0,25,0,complete
2024-09,27.627,31.7,24.363,37.6,18.7,288.8,0,11,0,complete
2024-10,19.232,22.419,16.368,30.3,11.1,51.6,13.4,0,0,complete
2024-11,14.827,18.307,11.647,24.4,4.1,8.5,103.7,0,0,complete
2024-12,7.313,11.419,3.671,20.8,-2.5,0,331.3,0,4,complete
2025-01,7.265,13.226,2.203,19.9,-2.4,0,332.8,0,8,complete
2025-02,6.868,11.221,2.95,23.7,-4.7,0,311.7,0,4,complete
2025-03,12.606,17.735,7.752,32.3,1.1,24.5,191.7,0,0,complete
2025-04,19.4,25.4,13.817,32.9,5.7,64.1,22.1,0,0,complete
2025-05,22.306,26.971,17.932,32.1,14.1,133.5,0,0,0,complete
2025-06,26.043,30.163,22.517,33.9,18.4,241.3,0,0,0,complete
2025-07,27.881,31.455,25.097,34.9,22.7,306.3,0,0,0,complete
2025-08,30.532,35.868,26.119,38.1,24.5,388.5,0,22,0,complete
2025-09,29.093,34.313,25.003,39,21.8,332.8,0,14,0,complete
2025-10,23.619,28.026,20.142,37.3,11.3,187.6,13.4,8,0,complete
2025-11,13.583,17.913,9.973,23.6,2.8,3.3,135.8,0,0,complete
2025-12,10.145,15.723,5.158,24,-1.1,0,243.5,0,3,complete
