month,quarter,consumption_month_yi_kwh,consumption_month_yoy_pct,generation_month_yi_kwh,generation_month_yoy_pct,installed_capacity_wan_kw,reported_peak_load_wan_kw,mean_temp_c,absolute_max_c,hot_days_ge_35c,cooling_degree_days_base18,heating_degree_days_base18,workdays,holiday_break_days,gdp_total_yi_yuan_cumulative,gdp_yoy_pct,secondary_yi_yuan_cumulative,tertiary_yi_yuan_cumulative,electricity_source_url,gdp_source_url,weather_quality
2024-01,2024-Q1,738.18,37.56,589.61,38.87,18177.66,12589.6,3.58,17.2,0,0,447.0,22,1,31020.41,6.2,13132.9,17248.81,https://jsb.nea.gov.cn/dtyw/jgdt/202402/t20240223_257097.html,https://tj.jiangsu.gov.cn/art/2024/4/22/art_85276_11223931.html,reanalysis-point-proxy
2024-02,2024-Q1,551.1,-8.0,450.04,-6.31,18314.09,12589.6,4.34,24.0,0,0,396.1,18,8,31020.41,6.2,13132.9,17248.81,https://jsb.nea.gov.cn/dtyw/jgdt/202403/t20240319_259234.html,https://tj.jiangsu.gov.cn/art/2024/4/22/art_85276_11223931.html,reanalysis-point-proxy
2024-03,2024-Q1,674.94,8.05,548.37,10.5,18405.18,12589.6,11.21,28.5,0,4.0,214.6,21,0,31020.41,6.2,13132.9,17248.81,https://jsb.nea.gov.cn/dtyw/jgdt/202404/t20240415_260710.html,https://tj.jiangsu.gov.cn/art/2024/4/22/art_85276_11223931.html,reanalysis-point-proxy
2024-04,2024-Q2,620.2,7.12,510.57,6.18,18562.09,12589.6,17.19,27.2,0,15.3,39.6,22,3,63326.3,5.8,27709.7,33880.4,https://jsb.nea.gov.cn/dtyw/jgdt/202405/t20240517_263109.html,https://www.jiangsu.gov.cn/art/2024/7/24/art_34151_11305109.html,reanalysis-point-proxy
2024-05,2024-Q2,650.6,6.52,551.07,5.82,18734.71,12589.6,20.87,32.0,0,94.8,5.7,21,5,63326.3,5.8,27709.7,33880.4,https://jsb.nea.gov.cn/dtyw/jgdt/202406/t20240617_264655.html,https://www.jiangsu.gov.cn/art/2024/7/24/art_34151_11305109.html,reanalysis-point-proxy
2024-06,2024-Q2,688.04,5.84,528.26,-1.26,18980.36,12589.6,25.16,34.3,0,214.7,0,19,1,63326.3,5.8,27709.7,33880.4,https://jsb.nea.gov.cn/dtyw/jgdt/202407/t20240715_266191.html,https://www.jiangsu.gov.cn/art/2024/7/24/art_34151_11305109.html,reanalysis-point-proxy
2024-07,2024-Q3,859.57,9.78,645.06,4.05,19180.74,14310.0,29.19,36.7,8,346.8,0,23,0,97744.3,5.7,42413.2,52493.0,https://jsb.nea.gov.cn/ztzl/xzxk/zzdt/202408/t20240827_268451.html,https://tj.jiangsu.gov.cn/art/2024/10/24/art_85275_11400783.html,reanalysis-point-proxy
2024-08,2024-Q3,910.68,13.83,681.64,11.75,19336.27,14706.0,30.07,37.8,10,374.3,0,22,0,97744.3,5.7,42413.2,52493.0,https://jsb.nea.gov.cn/dtyw/jgdt/202409/t20240914_269559.html,https://tj.jiangsu.gov.cn/art/2024/10/24/art_85275_11400783.html,reanalysis-point-proxy
2024-09,2024-Q3,765.29,13.74,598.97,17.42,19547.52,13582.7,26.37,35.2,1,251.0,0,21,3,97744.3,5.7,42413.2,52493.0,https://jsb.nea.gov.cn/dtyw/jgdt/202410/t20241015_270827.html,https://tj.jiangsu.gov.cn/art/2024/10/24/art_85275_11400783.html,reanalysis-point-proxy
2024-10,2024-Q4,637.14,3.46,506.69,3.53,19701.33,13582.7,17.51,27.3,0,25.8,40.9,19,7,137008.0,5.8,59180.1,72582.8,https://jsb.nea.gov.cn/dtyw/jgdt/202411/t20241114_272302.html,https://tj.jiangsu.gov.cn/art/2025/3/15/art_85764_11514117.html,reanalysis-point-proxy
2024-11,2024-Q4,643.74,2.33,516.47,-0.12,19956.59,13582.7,13.11,24.6,0,3.2,149.9,21,0,137008.0,5.8,59180.1,72582.8,https://jsb.nea.gov.cn/dtyw/jgdt/202412/t20241217_274060.html,https://tj.jiangsu.gov.cn/art/2025/3/15/art_85764_11514117.html,reanalysis-point-proxy
2024-12,2024-Q4,747.44,2.1,577.01,-1.55,20409.26,13582.7,5.03,19.4,0,0,402.2,22,0,137008.0,5.8,59180.1,72582.8,https://jsb.nea.gov.cn/dtyw/jgdt/202501/t20250120_275540.html,https://tj.jiangsu.gov.cn/art/2025/3/15/art_85764_11514117.html,reanalysis-point-proxy
2025-01,2025-Q1,667.07,-9.63,513.54,-12.9,20816.74,11631.4,4.98,16.6,0,0,403.7,19,5,33088.6,5.9,13580.3,18831.0,https://jsb.nea.gov.cn/dtyw/jgdt/202502/t20250217_276674.html,https://m.people.cn/n4/2025/0422/c1545-21613260.html,reanalysis-point-proxy
2025-02,2025-Q1,621.49,12.77,496.73,10.38,20943.85,11631.4,5.67,19.9,0,0,345.3,19,4,33088.6,5.9,13580.3,18831.0,https://jsb.nea.gov.cn/dtyw/jgdt/202503/t20250321_278422.html,https://m.people.cn/n4/2025/0422/c1545-21613260.html,reanalysis-point-proxy
2025-03,2025-Q1,704.06,4.31,555.66,1.33,21196.66,11631.4,12.09,33.3,0,15.4,198.5,21,0,33088.6,5.9,13580.3,18831.0,https://jsb.nea.gov.cn/dtyw/jgdt/202504/t20250417_279734.html,https://m.people.cn/n4/2025/0422/c1545-21613260.html,reanalysis-point-proxy
2025-04,2025-Q2,648.19,4.51,520.79,2.0,21912.07,11631.4,20.06,32.2,0,81.9,20.2,22,3,66967.8,5.7,28391.1,36799.1,https://jsb.nea.gov.cn/dtyw/jgdt/202505/t20250519_281184.html,https://tj.jiangsu.gov.cn/art/2025/7/22/art_85276_11605717.html,reanalysis-point-proxy
