month,location,mean_temp_c,avg_daily_max_c,avg_daily_min_c,absolute_max_c,absolute_min_c,cooling_degree_days_base18,heating_degree_days_base18,hot_days_ge_35c,cold_days_le_0c,precipitation_sum_mm,max_wind_speed_kmh,source_url,quality_flag
2024-01,"南京代表点(32.06N,118.78E)",3.58,8.67,-0.36,17.2,-6.7,0,447.0,0,20,52.7,24.0,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-02,"南京代表点(32.06N,118.78E)",4.34,8.61,0.57,24.0,-3.6,0,396.1,0,18,99.6,28.8,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-03,"南京代表点(32.06N,118.78E)",11.21,16.57,6.47,28.5,-1.6,4.0,214.6,0,3,101.0,27.6,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-04,"南京代表点(32.06N,118.78E)",17.19,21.63,13.42,27.2,8.0,15.3,39.6,0,0,142.5,26.9,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-05,"南京代表点(32.06N,118.78E)",20.87,25.81,16.3,32.0,10.7,94.8,5.7,0,0,92.2,33.0,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-06,"南京代表点(32.06N,118.78E)",25.16,29.12,21.65,34.3,17.2,214.7,0,0,0,281.0,26.9,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-07,"南京代表点(32.06N,118.78E)",29.19,32.39,26.5,36.7,21.4,346.8,0,8,0,239.1,29.3,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-08,"南京代表点(32.06N,118.78E)",30.07,34.17,26.7,37.8,24.2,374.3,0,10,0,162.3,21.4,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-09,"南京代表点(32.06N,118.78E)",26.37,30.15,23.21,35.2,15.8,251.0,0,1,0,230.9,51.7,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-10,"南京代表点(32.06N,118.78E)",17.51,21.33,14.13,27.3,8.7,25.8,40.9,0,0,104.8,26.4,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-11,"南京代表点(32.06N,118.78E)",13.11,17.21,9.87,24.6,3.2,3.2,149.9,0,0,15.2,27.2,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2024-12,"南京代表点(32.06N,118.78E)",5.03,9.62,1.47,19.4,-2.6,0,402.2,0,13,11.7,17.1,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
2025-01,"南京代表点(32.06N,118.78E)",4.98,10.15,1.05,16.6,-3.3,0,403.7,0,12,10.0,22.9,https://archive-api.open-meteo.com/v1/archive?latitude=32.06&longitude=118.78&start_date=2024-01-01&end_date=2025-12-31&daily=temperature_2m_mean%2Ctemperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum%2Cwind_speed_10m_max&timezone=Asia%2FShanghai,reanalysis-point-proxy
