month,days,workdays,nonworkdays,holiday_break_days,weekend_days,makeup_workdays
2021-01,31,20,11,3,8,0
2021-02,28,17,11,7,4,2
2021-03,31,23,8,0,8,0
2021-04,30,22,8,3,5,1
2021-05,31,19,12,5,7,1
2021-06,30,21,9,3,6,0
2021-07,31,22,9,0,9,0
2021-08,31,22,9,0,9,0
2021-09,30,22,8,3,5,2
2021-10,31,17,14,7,7,1
2021-11,30,22,8,0,8,0
2021-12,31,23,8,0,8,0
2022-01,31,21,10,4,6,2
2022-02,28,16,12,6,6,0
2022-03,31,23,8,0,8,0
2022-04,30,21,9,4,5,2
2022-05,31,20,11,4,7,1
2022-06,30,21,9,3,6,0
2022-07,31,21,10,0,10,0
2022-08,31,23,8,0,8,0
2022-09,30,21,9,3,6,0
2022-10,31,18,13,7,6,2
2022-11,30,22,8,0,8,0
2022-12,31,22,9,1,8,0
2023-01,31,18,13,9,4,2
2023-02,28,20,8,0,8,0
2023-03,31,23,8,0,8,0
2023-04,30,20,10,3,7,1
2023-05,31,21,10,3,7,1
2023-06,30,21,9,3,6,1
2023-07,31,21,10,0,10,0
2023-08,31,23,8,0,8,0
2023-09,30,20,10,2,8,0
2023-10,31,19,12,6,6,2
2023-11,30,22,8,0,8,0
2023-12,31,21,10,0,10,0
2024-01,31,22,9,1,8,0
2024-02,29,18,11,8,3,2
2024-03,31,21,10,0,10,0
2024-04,30,22,8,3,5,2
2024-05,31,21,10,5,5,1
2024-06,30,19,11,3,8,0
2024-07,31,23,8,0,8,0
2024-08,31,22,9,0,9,0
2024-09,30,21,9,3,6,2
2024-10,31,19,12,7,5,1
2024-11,30,21,9,0,9,0
2024-12,31,22,9,0,9,0
2025-01,31,19,12,5,7,1
2025-02,28,19,9,4,5,1
2025-03,31,21,10,0,10,0
2025-04,30,22,8,3,5,1
2025-05,31,19,12,6,6,0
2025-06,30,20,10,2,8,0
2025-07,31,23,8,0,8,0
2025-08,31,21,10,0,10,0
2025-09,30,23,7,0,7,1
2025-10,31,18,13,8,5,1
2025-11,30,20,10,0,10,0
2025-12,31,23,8,0,8,0
