id,label,name,category,description,unit,frequency,source_id,quality_flag,notes
project-zju-srtp,Project,电力看经济知识增强项目,SRTP,以电力高频数据感知经济变化，剥离天气和节假日扰动，支撑异常检测与归因,,,source-project-ppt,active,
region-zhejiang,Region,浙江省,Province,研究区域,,,,active,
domain-electricity,Domain,电力,Domain,用电量及负荷相关指标,,,,active,
domain-economy,Domain,经济,Domain,产业增加值与经济活动,,,,active,
domain-weather,Domain,天气,Domain,气温及温度衍生负荷特征,,,,active,
domain-calendar,Domain,日历,Domain,节假日、周末和调休工作日,,,,active,
indicator-power-total,Indicator,全社会用电量,ElectricityIndicator,浙江省全社会月度用电量,源表未标注（推断万千瓦时）,month,source-electricity-xlsx,unit-inferred,同时提供推断换算亿千瓦时
indicator-gdp-primary,Indicator,第一产业增加值,EconomicIndicator,季度累计值,亿元,quarter,source-primary-xlsx,provided,
indicator-gdp-secondary,Indicator,第二产业增加值,EconomicIndicator,季度累计值,亿元,quarter,source-secondary-xlsx,provided,
indicator-gdp-tertiary,Indicator,第三产业增加值,EconomicIndicator,季度累计值,亿元,quarter,source-tertiary-xlsx,provided,
indicator-temp-mean,Indicator,月平均气温,WeatherIndicator,逐日平均气温的月平均,°C,month,source-open-meteo-era5-land,point-proxy-derived,
indicator-temp-max-mean,Indicator,日最高气温月平均,WeatherIndicator,逐日最高气温的月平均,°C,month,source-open-meteo-era5-land,point-proxy-derived,
indicator-temp-min-mean,Indicator,日最低气温月平均,WeatherIndicator,逐日最低气温的月平均,°C,month,source-open-meteo-era5-land,point-proxy-derived,
indicator-temp-abs-max,Indicator,月极端最高气温,WeatherIndicator,月内逐日最高气温的最大值,°C,month,source-open-meteo-era5-land,point-proxy-derived,
indicator-temp-abs-min,Indicator,月极端最低气温,WeatherIndicator,月内逐日最低气温的最小值,°C,month,source-open-meteo-era5-land,point-proxy-derived,
feature-cdd18,Feature,制冷度日CDD18,WeatherFeature,"逐日max(日均温-18,0)月累计",°C·d,month,source-open-meteo-era5-land,derived,
feature-hdd18,Feature,采暖度日HDD18,WeatherFeature,"逐日max(18-日均温,0)月累计",°C·d,month,source-open-meteo-era5-land,derived,
feature-hot-days,Feature,高温日数,WeatherFeature,日最高气温≥35°C的天数,天,month,source-open-meteo-era5-land,derived,
feature-cold-days,Feature,冰冻日数,WeatherFeature,日最低气温≤0°C的天数,天,month,source-open-meteo-era5-land,derived,
feature-workdays,Feature,工作日数,CalendarFeature,常规工作日与调休工作日合计,天,month,source-holiday-docx,extracted,
feature-nonworkdays,Feature,非工作日数,CalendarFeature,周末及节假日连休天数,天,month,source-holiday-docx,extracted,
feature-holiday-days,Feature,节假日连休天数,CalendarFeature,国务院安排的连休区间内天数,天,month,source-holiday-docx,extracted,
feature-makeup-workdays,Feature,调休工作日数,CalendarFeature,周末调为工作日的天数,天,month,source-holiday-docx,extracted,
indicator-precipitation-planned,Indicator,月降水量,WeatherIndicator,待从可用气象源补接,mm,month,,planned,Open-Meteo源XLSX导出异常，本版未纳入观测
indicator-wind-planned,Indicator,月平均风速,WeatherIndicator,待从可用气象源补接,m/s,month,,planned,Open-Meteo源XLSX导出异常，本版未纳入观测
source-electricity-xlsx,DataSource,浙江全社会用电量信息（月度）.xlsx,DataSource,月度全社会用电量,,,source-electricity-xlsx,active,源表未明确单位；数量级推断为万千瓦时
source-primary-xlsx,DataSource,浙江省第一产业季度.xlsx,DataSource,第一产业增加值累计值及同比,,,source-primary-xlsx,active,单位亿元/%
source-secondary-xlsx,DataSource,浙江省第二产业季度.xlsx,DataSource,第二产业增加值累计值及同比,,,source-secondary-xlsx,active,单位亿元/%
source-tertiary-xlsx,DataSource,浙江省第三产业季度.xlsx,DataSource,第三产业增加值累计值及同比,,,source-tertiary-xlsx,active,单位亿元/%
source-holiday-docx,DataSource,国务院办公厅近五年节假日安排.docx,DataSource,法定节假日连休区间与调休工作日,,,source-holiday-docx,active,逐日提取；2024-02-09鼓励休息不作为法定放假日
source-open-meteo-era5-land,DataSource,ERA5-Land via Open-Meteo Historical Weather API,DataSource,浙江中部代表点逐日温度，重新聚合为月值,,,source-open-meteo-era5-land,active,"29.2N,120.2E；省级点位代理；源XLSX降水/风速返回数值错误码，未纳入"
source-project-ppt,DataSource,答辩ppt.pdf,DataSource,项目目标、技术路线和智能体框架,,,source-project-ppt,active,用于本体与关系设计
period-2021-01,Period,2021-01,Month,2021-01-01所在自然月,,month,,active,
period-2021-02,Period,2021-02,Month,2021-02-01所在自然月,,month,,active,
period-2021-03,Period,2021-03,Month,2021-03-01所在自然月,,month,,active,
period-2021-04,Period,2021-04,Month,2021-04-01所在自然月,,month,,active,
period-2021-05,Period,2021-05,Month,2021-05-01所在自然月,,month,,active,
period-2021-06,Period,2021-06,Month,2021-06-01所在自然月,,month,,active,
period-2021-07,Period,2021-07,Month,2021-07-01所在自然月,,month,,active,
