date,policy_event,event_name,is_holiday,is_workday_override
2023-01-01,0,,1,0
2023-01-07,0,,1,0
2023-01-08,0,,1,0
2023-01-14,0,,1,0
2023-01-15,0,,1,0
2023-01-21,0,,1,0
2023-01-22,0,,1,0
2023-01-28,0,,1,0
2023-01-29,0,,1,0
2023-02-04,0,,1,0
2023-02-05,0,,1,0
2023-02-11,0,,1,0
2023-02-12,0,,1,0
2023-02-15,0,,1,0
2023-02-16,0,,1,0
2023-02-17,0,,1,0
2023-02-18,0,,1,0
2023-02-19,0,,1,0
2023-02-25,0,,1,0
2023-02-26,0,,1,0
2023-03-04,0,,1,0
2023-03-05,0,,1,0
2023-03-11,0,,1,0
2023-03-12,0,,1,0
2023-03-18,0,,1,0
2023-03-19,0,,1,0
2023-03-25,0,,1,0
2023-03-26,0,,1,0
2023-04-01,0,,1,0
2023-04-02,0,,1,0
2023-04-08,0,,1,0
2023-04-09,0,,1,0
2023-04-15,0,,1,0
2023-04-16,0,,1,0
2023-04-22,0,,1,0
2023-04-23,0,,1,0
2023-04-29,0,,1,0
2023-04-30,0,,1,0
2023-05-06,0,,1,0
2023-05-07,0,,1,0
2023-05-13,0,,1,0
2023-05-14,0,,1,0
2023-05-20,0,,1,0
2023-05-21,0,,1,0
2023-05-27,0,,1,0
2023-05-28,0,,1,0
2023-06-03,0,,1,0
2023-06-04,0,,1,0
2023-06-10,0,,1,0
2023-06-11,0,,1,0
2023-06-15,0,,1,0
2023-06-16,0,,1,0
2023-06-17,0,,1,0
2023-06-18,0,,1,0
2023-06-24,0,,1,0
2023-06-25,0,,1,0
2023-07-01,0,,1,0
2023-07-02,0,,1,0
2023-07-08,0,,1,0
2023-07-09,0,,1,0
2023-07-15,0,,1,0
2023-07-16,0,,1,0
2023-07-22,0,,1,0
2023-07-23,0,,1,0
2023-07-29,0,,1,0
2023-07-30,0,,1,0
2023-08-05,0,,1,0
2023-08-06,0,,1,0
2023-08-12,0,,1,0
2023-08-13,0,,1,0
2023-08-19,0,,1,0
2023-08-20,0,,1,0
2023-08-26,0,,1,0
2023-08-27,0,,1,0
2023-09-02,0,,1,0
2023-09-03,0,,1,0
2023-09-09,0,,1,0
2023-09-10,0,,1,0
